dataset,p,mode,replication,status,error_message,seconds,coordinate,coordinate_name,estimate,objective,hit_trust_boundary
dry_bean_cali_barbunya,2,local,7,success,,0.14668369099945266,8.0,component_2_student_t_coordinate_2,0.7444507994491832,-4.590219935695742,False
dry_bean_cali_barbunya,2,local,7,success,,0.14668706199972803,9.0,component_2_student_t_coordinate_3,-1.1140014508247262,-4.590219935695742,False
dry_bean_cali_barbunya,2,local,7,success,,0.14669041799970728,10.0,component_2_student_t_coordinate_4,0.5247181180526314,-4.590219935695742,False
dry_bean_cali_barbunya,2,local,7,success,,0.14669383199998265,11.0,component_2_student_t_coordinate_5,2.251436403750557,-4.590219935695742,False
dry_bean_cali_barbunya,2,local,8,failed,RuntimeError: local optimization: CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH; hit_boundary=True,0.13216043000011268,,,,,
dry_bean_cali_barbunya,2,local,9,success,,0.14882797299924277,0.0,weight_logit_1_vs_2,1.1278019186082588,-4.636286831095651,False
dry_bean_cali_barbunya,2,local,9,success,,0.14883370799998374,1.0,component_1_normal_coordinate_0,0.9056875663455846,-4.636286831095651,False
dry_bean_cali_barbunya,2,local,9,success,,0.1488376219995189,2.0,component_1_normal_coordinate_1,0.6784374188697629,-4.636286831095651,False
dry_bean_cali_barbunya,2,local,9,success,,0.1488410419997308,3.0,component_1_normal_coordinate_2,0.7502603068808803,-4.636286831095651,False
dry_bean_cali_barbunya,2,local,9,success,,0.14884434399937163,4.0,component_1_normal_coordinate_3,-0.7032125172863747,-4.636286831095651,False
dry_bean_cali_barbunya,2,local,9,success,,0.14884769599939318,5.0,component_1_normal_coordinate_4,0.39945359650449497,-4.636286831095651,False
dry_bean_cali_barbunya,2,local,9,success,,0.14885087099992234,6.0,component_2_student_t_coordinate_0,-2.6499667036034467,-4.636286831095651,False
dry_bean_cali_barbunya,2,local,9,success,,0.1488540689997535,7.0,component_2_student_t_coordinate_1,-2.098648773410695,-4.636286831095651,False
dry_bean_cali_barbunya,2,local,9,success,,0.14885723699990194,8.0,component_2_student_t_coordinate_2,0.8088133887076793,-4.636286831095651,False
dry_bean_cali_barbunya,2,local,9,success,,0.14886063499943702,9.0,component_2_student_t_coordinate_3,-1.2984333714340395,-4.636286831095651,False
dry_bean_cali_barbunya,2,local,9,success,,0.1488638329992682,10.0,component_2_student_t_coordinate_4,0.544619600243179,-4.636286831095651,False
dry_bean_cali_barbunya,2,local,9,success,,0.1488674929996705,11.0,component_2_student_t_coordinate_5,2.2495502208171843,-4.636286831095651,False
