quantity,estimate,naive_se,corrected_se,local_bootstrap_sd,corrected_ci_lower,corrected_ci_upper
Mixing weight pi_1,0.3448770859501167,0.006365639056868787,0.008314504063458263,0.008055379511087993,0.3285806579857385,0.36117351391449487
Location distance,5.2017948962299325,0.03607268348341171,0.03652312573577473,0.035445362904457135,5.130209569787814,5.273380222672051
Student-t df nu,20.68021576960051,3.848044542751104,4.184155345500628,5.533245729181139,12.479271292419279,28.88116024678174
