coordinate,coordinate_name,estimate,naive_se,stabilized_se,local_bootstrap_sd,global_bootstrap_sd,naive_to_local_bootstrap,stabilized_to_local_bootstrap
0,weight_logit_1_vs_2,-0.641634792125399,0.028174413197342735,0.036800118718966025,0.03572460802023804,0.6225911278392628,0.788655628674271,1.0301055983068788
1,component_1_normal_coordinate_0,3.3627239370859074,0.02647600934223183,0.03411707651940763,0.031780140126932956,2.5417666326867367,0.8330992008368776,1.0735344898776633
2,component_1_normal_coordinate_1,-0.6212390902389845,0.04567587005636995,0.060322618407124926,0.061062919174008905,0.45159382938241355,0.7480132079209805,0.9878764268577732
3,component_1_normal_coordinate_2,0.1491084098756994,0.017810532155965886,0.02065477227295722,0.02254986730900061,0.1752192367233228,0.7898286899833307,0.9159598143051166
4,component_1_normal_coordinate_3,0.5993844287316847,0.047157157848728384,0.06034872094212377,0.05846505124328104,0.07841065187199059,0.8065871293347718,1.032218729972621
5,component_1_normal_coordinate_4,0.6485499105594589,0.01664031009909635,0.027407058334952338,0.0288657268670284,0.025966576074465137,0.5764729284577131,0.9494671123718623
6,component_2_student_t_coordinate_0,-1.7550976229864699,0.02838970844604387,0.03894405069393584,0.03623981773656576,2.4960944344168565,0.78338441579409,1.074620490009847
7,component_2_student_t_coordinate_1,0.3096597343934837,0.03526887791711805,0.037741317067693,0.03794801192579232,0.467694601497222,0.9293998849290619,0.9945532098360379
8,component_2_student_t_coordinate_2,0.4832458767845286,0.012844398596109028,0.01887632182053762,0.01745267387623938,0.202587697487476,0.7359559163937508,1.0815719100920367
9,component_2_student_t_coordinate_3,0.7656730540432937,0.033242557151475366,0.03883606719350665,0.03997201188959721,0.12765669206357427,0.831645833672105,0.971581498093515
10,component_2_student_t_coordinate_4,0.6322067901105679,0.01404523099114339,0.014755129576287957,0.014961268542633051,0.019874415718811853,0.9387727351541512,0.9862218256588545
11,component_2_student_t_coordinate_5,2.927464983569131,0.20599572243176506,0.22398859825747167,0.2527752909574155,0.3375366942619458,0.8149361500150293,0.8861174579567846
