replication,status,coordinate,estimate,target,error,naive_se,corrected_se,bootstrap_se,naive_cover,corrected_cover,bootstrap_cover,corrected_min_eigenvalue,bootstrap_successes,bootstrap_failures,bandwidth_warnings
0,success,0,0.016000341346441238,0.051479160821583804,-0.035478819475142566,0.08944558134394173,0.15143313591833715,0.15552527100706,True,True,True,0.010903372395081448,19,1,
0,success,1,-1.600441348530373,-1.4983315358293605,-0.10210981270101249,0.06647286831480057,0.1121759520202547,0.11248390598276486,True,True,True,0.010903372395081448,19,1,
0,success,2,-1.5295880290107116,-1.5028830927170445,-0.026704936293667103,0.06693736512239508,0.12024625704040383,0.10214075351618826,True,True,True,0.010903372395081448,19,1,
0,success,3,0.055741201053588416,-0.012284654956403532,0.06802585600999195,0.04055461241953557,0.060482052197035806,0.06775212313508583,True,True,True,0.010903372395081448,19,1,
0,success,4,0.22325552363306614,0.1484438886935375,0.07481163493952864,0.05799029152084395,0.1126278361325742,0.08012759215149709,True,True,True,0.010903372395081448,19,1,
0,success,5,0.04022257838814236,-0.034189294330458676,0.07441187271860103,0.041111256378236566,0.05598671223937557,0.055350631415773247,True,True,True,0.010903372395081448,19,1,
0,success,6,1.5223394842470497,1.5396242918846663,-0.01728480763761664,0.07563605013241051,0.11698359320320749,0.10721699048557985,True,True,True,0.010903372395081448,19,1,
0,success,7,1.562576653519226,1.5182083416184742,0.044368311900751856,0.06833637142989897,0.10472191238593688,0.10974413609011842,True,True,True,0.010903372395081448,19,1,
0,success,8,0.04893819818830577,0.02962910937982222,0.01930908880848355,0.06589696804385416,0.08374777187881022,0.09730936510002974,True,True,True,0.010903372395081448,19,1,
0,success,9,0.07320887458044047,0.06717506454898667,0.0060338100314537985,0.06393551855883113,0.10683204469763052,0.11638401267506675,True,True,True,0.010903372395081448,19,1,
0,success,10,-0.029794448010267597,0.027682660231634137,-0.057477108241901734,0.06591173452754184,0.08073146102143278,0.08765129745886834,True,True,True,0.010903372395081448,19,1,
0,success,11,1.6132669342623676,1.6467797786754943,-0.03351284441312674,0.3820536439571607,0.40317698176094136,0.343085494898765,True,True,True,0.010903372395081448,19,1,
1,success,0,0.19259310711578448,0.051479160821583804,0.14111394629420068,0.08992736880318447,0.13367944800339182,0.11051488953445972,True,True,True,0.006496342404704881,14,6,
1,success,1,-1.5595625211383197,-1.4983315358293605,-0.06123098530895921,0.05490829283884285,0.07904547063934579,0.07441906854251822,True,True,True,0.006496342404704881,14,6,
1,success,2,-1.6053151122331097,-1.5028830927170445,-0.10243201951606529,0.053089399441758174,0.09213633659642621,0.10448865556156198,True,True,True,0.006496342404704881,14,6,
1,success,3,-0.09563802541477427,-0.012284654956403532,-0.08335337045837074,0.04021333069418484,0.05473801644255961,0.04726592127658074,False,True,True,0.006496342404704881,14,6,
1,success,4,0.19134088056822582,0.1484438886935375,0.04289699187468832,0.05262795586981337,0.09368468548979697,0.05469600286048675,True,True,True,0.006496342404704881,14,6,
1,success,5,-0.13597357274034227,-0.034189294330458676,-0.1017842784098836,0.04344947682480045,0.07671465461471676,0.07337872444363398,False,True,True,0.006496342404704881,14,6,
1,success,6,1.488472255398422,1.5396242918846663,-0.051152036486244334,0.08491093071456514,0.1294600214273911,0.1278645878887166,True,True,True,0.006496342404704881,14,6,
1,success,7,1.2789533176504104,1.5182083416184742,-0.23925502396806375,0.06841582172549801,0.09019540852983511,0.0569406870479955,False,False,False,0.006496342404704881,14,6,
1,success,8,0.16970234044121327,0.02962910937982222,0.14007323106139105,0.06387712191939823,0.08452319927656991,0.0824561290224379,False,True,True,0.006496342404704881,14,6,
1,success,9,0.013602206687889543,0.06717506454898667,-0.053572857861097126,0.06911180891058202,0.09526371465898725,0.06414105113906986,True,True,True,0.006496342404704881,14,6,
1,success,10,-0.044190850547933626,0.027682660231634137,-0.07187351077956776,0.06058972772764682,0.06727334144033362,0.07101970175565057,True,True,True,0.006496342404704881,14,6,
1,success,11,2.293124764005806,1.6467797786754943,0.6463449853303116,0.5996158222367765,0.6417903090786671,0.3884339485299703,True,True,True,0.006496342404704881,14,6,
2,success,0,0.0880568553911828,0.051479160821583804,0.036577694569598994,0.08952942267282797,0.1582171353552123,0.08967627014249678,True,True,True,0.002804359889402591,11,9,
2,success,1,-1.483250726695806,-1.4983315358293605,0.015080809133554585,0.0642905310232616,0.1166693111824819,0.06300986971868379,True,True,True,0.002804359889402591,11,9,
2,success,2,-1.4403400074686106,-1.5028830927170445,0.06254308524843388,0.05970284120374096,0.11243913126692524,0.06763627057032132,True,True,True,0.002804359889402591,11,9,
2,success,3,0.03983667355564278,-0.012284654956403532,0.05212132851204631,0.043392293550688764,0.08800694683348945,0.037509672014561304,True,True,True,0.002804359889402591,11,9,
2,success,4,0.10173659313636824,0.1484438886935375,-0.046707295557169265,0.05905082693345451,0.1033426663964035,0.08880225985846864,True,True,True,0.002804359889402591,11,9,
2,success,5,-0.03976846179103966,-0.034189294330458676,-0.005579167460580986,0.04519995540745812,0.08590400754111471,0.0733808491568797,True,True,True,0.002804359889402591,11,9,
2,success,6,1.6040757053567012,1.5396242918846663,0.06445141347203487,0.06785521483580406,0.11752890778999883,0.08317359819127242,True,True,True,0.002804359889402591,11,9,
2,success,7,1.5758440530782585,1.5182083416184742,0.0576357114597843,0.07789908312946475,0.13082283166596706,0.10191401909774611,True,True,True,0.002804359889402591,11,9,
2,success,8,0.0059932564216297725,0.02962910937982222,-0.023635852958192448,0.060125439677247455,0.09698832949659278,0.0753353631426449,True,True,True,0.002804359889402591,11,9,
2,success,9,0.05237354581182289,0.06717506454898667,-0.014801518737163781,0.06912036673314062,0.11583117649479395,0.06317365828079467,True,True,True,0.002804359889402591,11,9,
2,success,10,0.13492223335468417,0.027682660231634137,0.10723957312305003,0.06258896404699577,0.09583319779184361,0.07791737405162422,True,True,True,0.002804359889402591,11,9,
2,success,11,2.807850826457268,1.6467797786754943,1.1610710477817738,0.6694255341153749,0.8427289344814517,0.3471360582621809,True,True,False,0.002804359889402591,11,9,
3,success,0,-0.17645643734155658,0.051479160821583804,-0.22793559816314038,0.08979107288727205,0.11400013090658459,0.09071052136002977,False,False,False,0.011694137559430032,17,3,
3,success,1,-1.6825803918020499,-1.4983315358293605,-0.18424885597268936,0.06345180275816117,0.08204570786245444,0.055657996332367,False,False,False,0.011694137559430032,17,3,
3,success,2,-1.4748008452268437,-1.5028830927170445,0.028082247490200718,0.057168658666954746,0.07367511325740064,0.052148116350046396,True,True,True,0.011694137559430032,17,3,
3,success,3,-0.04060401894732647,-0.012284654956403532,-0.02831936399092294,0.04750526724682761,0.06365612528940492,0.042851236069020554,True,True,True,0.011694137559430032,17,3,
3,success,4,0.09659347895198978,0.1484438886935375,-0.051850409741547726,0.051336169582981005,0.07599718335474573,0.062211862592853745,True,True,True,0.011694137559430032,17,3,
3,success,5,-0.1511511479681659,-0.034189294330458676,-0.11696185363770722,0.0498087118394163,0.06223877110416698,0.05366311876608459,False,True,False,0.011694137559430032,17,3,
3,success,6,1.5053462702594609,1.5396242918846663,-0.034278021625205435,0.07121612250241502,0.08651457998303937,0.07211292908339433,True,True,True,0.011694137559430032,17,3,
3,success,7,1.4852321660495973,1.5182083416184742,-0.032976175568876887,0.07210000478720516,0.08694101341997305,0.0763380887731329,True,True,True,0.011694137559430032,17,3,
3,success,8,0.07228933121462595,0.02962910937982222,0.04266022183480374,0.053907074913535594,0.0627222360607624,0.047100965243338476,True,True,True,0.011694137559430032,17,3,
3,success,9,0.1485206103038925,0.06717506454898667,0.08134554575490582,0.07004512185756293,0.08611948037714559,0.06433850571693726,True,True,True,0.011694137559430032,17,3,
3,success,10,0.06850370525941729,0.027682660231634137,0.04082104502778315,0.054389304070709264,0.060514307276687634,0.06512026267479573,True,True,True,0.011694137559430032,17,3,
3,success,11,1.9947809130447367,1.6467797786754943,0.3480011343692424,0.43462794951936173,0.4442197602601268,0.29375470710981627,True,True,True,0.011694137559430032,17,3,
4,success,0,0.0800427076735365,0.051479160821583804,0.02856354685195269,0.08951435265676944,0.10834749076763528,0.07246289074617368,True,True,True,0.006405761693714779,19,1,
4,success,1,-1.3676811730487022,-1.4983315358293605,0.13065036278065834,0.06304177815792139,0.08116747554100211,0.06841938129541887,False,True,True,0.006405761693714779,19,1,
4,success,2,-1.5107349439966586,-1.5028830927170445,-0.007851851279614186,0.061783123815461596,0.07333770314378696,0.06635349105355472,True,True,True,0.006405761693714779,19,1,
4,success,3,0.018309977936368838,-0.012284654956403532,0.03059463289277237,0.04498260385498065,0.05912557778086936,0.05319515598508327,True,True,True,0.006405761693714779,19,1,
4,success,4,0.21402364282976755,0.1484438886935375,0.06557975413623005,0.062038212872293046,0.07727076107558083,0.08263081658123173,True,True,True,0.006405761693714779,19,1,
4,success,5,-0.025390971992799445,-0.034189294330458676,0.008798322337659231,0.041593326838608786,0.046919378633767335,0.05191251514816034,True,True,True,0.006405761693714779,19,1,
4,success,6,1.5950191079840774,1.5396242918846663,0.055394816099411104,0.07771695440528628,0.08558638623049938,0.06814274311121633,True,True,True,0.006405761693714779,19,1,
4,success,7,1.5818200688768969,1.5182083416184742,0.06361172725842268,0.07253770804576026,0.0853689700610598,0.07192330163241213,True,True,True,0.006405761693714779,19,1,
4,success,8,0.12272454904990106,0.02962910937982222,0.09309543967007884,0.06826454410255041,0.07311681528330859,0.05621844764385487,True,True,True,0.006405761693714779,19,1,
