replication,status,coordinate,estimate,target,error,naive_se,corrected_se,bootstrap_se,naive_cover,corrected_cover,bootstrap_cover,corrected_min_eigenvalue,bootstrap_successes,bootstrap_failures,bandwidth_warnings
0,success,0,-0.12014431184206331,0.07417722601034064,-0.19432153785240397,0.115678464580962,0.17686152562428467,0.15641628527189064,True,True,True,0.01459356144480664,5,0,
0,success,1,-1.516200141320596,-1.4774832031763598,-0.03871693814423627,0.09662949447551383,0.14547687557677685,0.08331321138260178,True,True,True,0.01459356144480664,5,0,
0,success,2,-1.4725476294407869,-1.4920814800829179,0.01953385064213098,0.08856078046840354,0.1343075990074616,0.11076213936821308,True,True,True,0.01459356144480664,5,0,
0,success,3,0.14106737812862796,-0.004657895975051699,0.14572527410367966,0.05842468098157112,0.08035751276703831,0.0859739430897675,False,True,True,0.01459356144480664,5,0,
0,success,4,-0.041808471803394635,0.159753562792429,-0.20156203459582364,0.08195481990827415,0.13274682792066725,0.044578122643791004,False,True,False,0.01459356144480664,5,0,
0,success,5,0.0530871154909078,-0.026100983751674595,0.0791880992425824,0.047566424204154044,0.0664075839614474,0.03356542591041929,True,True,False,0.01459356144480664,5,0,
0,success,6,1.4380979750915865,1.5540693402685601,-0.1159713651769736,0.09238203728846715,0.12246708696718392,0.059702735295635474,True,True,True,0.01459356144480664,5,0,
0,success,7,1.499263489693929,1.543344153469851,-0.044080663775922124,0.09368583944254914,0.1287063108776107,0.11736036808243891,True,True,True,0.01459356144480664,5,0,
0,success,8,0.07926236536745601,0.03193863749340329,0.04732372787405272,0.07215414198363973,0.08637660516101336,0.10030456270685213,True,True,True,0.01459356144480664,5,0,
0,success,9,-0.0004393734499845067,0.04669828293781816,-0.047137656387802665,0.09124812252237904,0.13806150963905484,0.14152941506885422,True,True,True,0.01459356144480664,5,0,
0,success,10,0.02163762083157435,0.0011367066852173684,0.020500914146356984,0.059706599412278356,0.07584854485271542,0.07128392087973139,True,True,True,0.01459356144480664,5,0,
0,success,11,1.657347680088025,1.721702825950717,-0.06435514586269209,0.4601154169034405,0.5192863558299,0.34452383683370397,True,True,True,0.01459356144480664,5,0,
1,success,0,0.25470139172192197,0.07417722601034064,0.1805241657115813,0.11640767489610568,0.14989179887076615,0.4214877370582937,True,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
1,success,1,-1.3855742569614353,-1.4774832031763598,0.09190894621492451,0.06798813975600658,0.09459845060846554,1.503940826405095,True,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
1,success,2,-1.4040181592727223,-1.4920814800829179,0.08806332081019552,0.07387028333621382,0.0920864161061379,1.6258274382424656,True,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
1,success,3,-0.12050527006894703,-0.004657895975051699,-0.11584737409389533,0.05198317765320728,0.07624656068207848,0.16408687468756109,False,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
1,success,4,0.15654480643733756,0.159753562792429,-0.0032087563550914355,0.0669496575735829,0.09867835565001949,0.1885660397317432,True,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
1,success,5,-0.05091372581540679,-0.026100983751674595,-0.024812742063732195,0.060972586862158895,0.06750433193113597,0.06214974269753207,True,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
1,success,6,1.3582883662842387,1.5540693402685601,-0.19578097398432148,0.1123209251817745,0.13057587959833727,1.4801289929042114,True,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
1,success,7,1.507726456225891,1.543344153469851,-0.035617697243960134,0.08724463891654824,0.10758746064916092,1.6229387214465598,True,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
1,success,8,0.08952872673510893,0.03193863749340329,0.057590089241705646,0.07427985621461758,0.07530646686510063,0.18168493374163694,True,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
1,success,9,-0.07187352416798641,0.04669828293781816,-0.11857180710580456,0.09666356409919821,0.11957041893163196,0.09756318181532375,True,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
1,success,10,-0.059845179345776434,0.0011367066852173684,-0.060981886030993804,0.08745962181518306,0.10169763647992908,0.07883688515454539,True,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
1,success,11,2.0399338692875455,1.721702825950717,0.3182310433368285,0.5490291605058206,0.5569484223033709,0.3504316773465062,True,True,True,0.0074227553146240305,5,0,"Pair (0, 1) has only 28 observations in the kernel support (recommended minimum 30)."
2,success,0,0.09340117508840073,0.07417722601034064,0.01922394907806009,0.11559600876469772,0.16000500304151913,0.1485049964091406,True,True,True,0.012559761474595052,5,0,
2,success,1,-1.4741495649027174,-1.4774832031763598,0.003333638273642414,0.08057357863742949,0.09641692536352092,0.070163895534058,True,True,True,0.012559761474595052,5,0,
2,success,2,-1.5223089612209022,-1.4920814800829179,-0.030227481137984347,0.080411481319314,0.1262672498702797,0.055511976517040304,True,True,True,0.012559761474595052,5,0,
2,success,3,0.012733286600090949,-0.004657895975051699,0.017391182575142647,0.05144454456559632,0.056697159385717004,0.037253581572286226,True,True,True,0.012559761474595052,5,0,
2,success,4,0.0911462218213696,0.159753562792429,-0.0686073409710594,0.07523343070444118,0.10542843838316104,0.0464650334191334,True,True,True,0.012559761474595052,5,0,
2,success,5,0.006637141484310076,-0.026100983751674595,0.03273812523598467,0.05193564472343204,0.08830358821819884,0.06598636413532642,True,True,True,0.012559761474595052,5,0,
2,success,6,1.4463715376381454,1.5540693402685601,-0.10769780263041473,0.10449465388276252,0.14048582984960137,0.13830904365592295,True,True,True,0.012559761474595052,5,0,
2,success,7,1.624679875926744,1.543344153469851,0.08133572245689291,0.09619940649374885,0.10963320823353934,0.0713022826980647,True,True,True,0.012559761474595052,5,0,
2,success,8,0.09197109673667948,0.03193863749340329,0.060032459243276194,0.08105282967855226,0.1062583495305914,0.0782856326318484,True,True,True,0.012559761474595052,5,0,
2,success,9,0.05867314549691554,0.04669828293781816,0.011974862559097382,0.09743413203817679,0.1291251793250237,0.1179020052412878,True,True,True,0.012559761474595052,5,0,
2,success,10,-0.006662203940680793,0.0011367066852173684,-0.0077989106258981615,0.08508876228712019,0.09067387042637784,0.13899967619287099,True,True,True,0.012559761474595052,5,0,
2,success,11,1.1843999019354534,1.721702825950717,-0.5373029240152636,0.4112503907715138,0.4331515578411347,0.6856035670568567,True,True,True,0.012559761474595052,5,0,
