scenario,n,coordinate,coordinate_name,replications,mean_root_n_error,sd_root_n_error,skewness,excess_kurtosis,ks_distance,q010,q025,q050,q100,q250,q500,q750,q900,q950,q975,q990
nsn_p2_moderate_balanced,2000,0.0,weight_logit_1_vs_2,998,0.01081062413431602,2.077040020227287,0.045976142580133605,0.1585899275967928,0.023705953651770306,-2.261576266012881,-1.9108800007339046,-1.658403876209326,-1.2637600956502943,-0.6604009411179115,-0.014332249050222491,0.7177539580237264,1.2346606127558377,1.6225198512421584,1.9243395757197777,2.2327990271502065
nsn_p2_moderate_balanced,2000,1.0,component_1_normal_coordinate_0,998,0.913859439808834,13.813733960335554,11.611137959996622,134.82649763904692,0.4201795791670039,-0.33538724254218494,-0.3106364638293553,-0.26153865547005495,-0.22562453194070248,-0.15234911849805924,-0.08739448024201119,-0.007625761664529575,0.06968765026556065,0.10765099120246203,0.1519386072195716,0.21439126924409513
nsn_p2_moderate_balanced,2000,2.0,component_1_normal_coordinate_1,998,0.6645606886848613,9.535810112422416,11.438186272280742,132.1452765526831,0.38599493476868696,-0.4203693278941921,-0.3793252519886794,-0.33771637449603015,-0.2717791645822592,-0.17644090160309384,-0.07849590252417839,0.017143978294608495,0.11180261356467483,0.17885235964917423,0.2254638861012973,0.3056031002050986
nsn_p2_moderate_balanced,2000,3.0,component_1_normal_coordinate_2,998,-0.1279527494057375,1.450618434706383,-3.039745427018658,22.448086076748783,0.0693462970332839,-1.805197283580432,-1.5273763863787486,-1.3070010494583397,-0.9803832865056229,-0.5293080895182709,0.08135616811837301,0.5827313870624176,1.027588335191613,1.292521903971949,1.483445772953717,1.7435996122315476
nsn_p2_moderate_balanced,2000,4.0,component_1_normal_coordinate_3,998,-0.1679338181532968,1.4941902581999345,-0.053474269628890965,-0.3199167793362614,0.02242142592796048,-2.3425110131963756,-1.9513030898650794,-1.6956644214325602,-1.2857175264823073,-0.7142002685102836,0.01174460495825707,0.7347764645724417,1.2767859319488213,1.6292924883961164,1.9070877188555893,2.165085794079934
nsn_p2_moderate_balanced,2000,5.0,component_1_normal_coordinate_4,998,-0.15189250775339794,1.1264576912761188,-0.833279171375152,3.645687418531658,0.036484000568202724,-2.344515730070544,-1.8652700661518722,-1.5653383862401529,-1.1913971603315925,-0.5781476887751854,0.02370674886066908,0.6469167392464251,1.209208991492707,1.538869999298587,1.8806480925483526,2.113749294847127
nsn_p2_moderate_balanced,2000,6.0,component_2_skew_normal_coordinate_0,998,-0.5572018437945803,9.372628932328753,-10.618940918451406,121.20693348906244,0.3361732379345591,-0.5580418259040707,-0.4089767222844003,-0.3019533306099666,-0.21752111383171355,-0.09377205910939758,0.06221460499643033,0.22898936447255233,0.37053615694234354,0.4554281815538475,0.5468267216586302,0.8196820996119136
nsn_p2_moderate_balanced,2000,7.0,component_2_skew_normal_coordinate_1,998,-1.5068625887534397,10.95592142037138,-8.068765855768556,74.394476768206,0.29594565329304834,-4.4803516851683804,-0.5887077846925755,-0.40823731211345743,-0.2830679667779227,-0.07382745175471234,0.11955112759484043,0.3009297809041948,0.47348244544749113,0.5718399342664037,0.6442577021705242,0.7219194692291641
nsn_p2_moderate_balanced,2000,8.0,component_2_skew_normal_coordinate_2,998,-0.1587177107385042,1.9928536005164865,-0.44352331689535196,3.6774871266598046,0.03633804488444865,-2.719039248660126,-1.881510717537413,-1.5338040287896995,-1.1275353561315637,-0.6049138940104867,0.05278099405283563,0.6150382279192111,1.109217497918779,1.429986366191144,1.7712134579867573,2.2706406294328025
nsn_p2_moderate_balanced,2000,9.0,component_2_skew_normal_coordinate_3,998,0.7727780556379519,4.225201856329701,4.609114058266741,28.058738792204306,0.17616627592897427,-1.2255521610815179,-1.1036311932586658,-0.9158562907039581,-0.7714139307639966,-0.4675066516732854,-0.12485657550590258,0.26980873434955555,0.6171403655347033,0.9037053525937896,1.30396134365747,6.495119085504087
