n,bias,empirical_sd,rmse,bandwidth
250,-0.0022299077789230647,0.045189794619619195,0.04519962158459228,0.33144540173399867
1000,-0.004320186401598274,0.02902749012674463,0.029318492513031685,0.251188643150958
4000,-0.0023572899679065343,0.016784157779917885,0.01693225774872355,0.19036539387158782
16000,-0.0007711500587242418,0.009580608914647808,0.009602039546583245,0.14426999059072135
