coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,coordinate_12,objective
-0.492095694513366,-1.025344786454704,-0.6173500734955085,-0.29037610901436306,0.34850602033861255,-0.052490128262096994,0.32324904743507044,0.14315433141847186,0.11752598963578782,0.12177811433695693,-0.05044583690937912,6.512869833806438,-1.7308321885636682,-3.0485712672557193
-0.6386578377003249,-1.1051071899405318,-0.5933471171418736,-0.3223212026921753,0.38727078089187383,-0.06638740686678338,0.2327295488656168,0.10169449290903837,0.15574410036531908,0.15313288271440625,-0.038315229037471865,6.078444480221101,-1.7441096897634065,-3.0449969312998744
-0.45758030292009094,-1.002117956393694,-0.6409513345694203,-0.293466800289726,0.30282947358561263,-0.027744381638217665,0.3237679131717438,0.11784850104871014,0.12454938569401094,0.12801117554495803,-0.05831436103617194,6.598393599125367,-1.4170844061232348,-3.0618112845331056
-0.5126180257437976,-1.0307804154788212,-0.6071227178136305,-0.29980788087205595,0.34754067541316114,-0.053753534121919806,0.2930719411853254,0.12385980560948745,0.13145902147779168,0.12833238619313325,-0.04826536493057124,6.7855595510577205,-1.7186562669617707,-3.0490417437091017
-0.5473476203236702,-1.051375951774327,-0.5912149256999044,-0.30274388192437784,0.3710769489035679,-0.06484675068038423,0.27923287057763124,0.11110803961082233,0.14067037009209843,0.1424219760123091,-0.040620002799116546,6.89461976902706,-1.8592301439955594,-3.047735528473891
-0.5821414284531585,-1.0673170926904043,-0.5844158253121658,-0.302729839735166,0.384053541689258,-0.06601023839498896,0.2697708343509677,0.11871681572169007,0.13875060708871986,0.14739571431936185,-0.036437713064228744,6.490902910664243,-1.908854034093464,-3.0467215895779214
-0.3571898244832512,-0.9444107392584599,-0.6363878837701377,-0.2683648176589647,0.29726828174108305,-0.04058141890433116,0.3873797803682971,0.163949025970603,0.09633447483136412,0.09183196968756765,-0.07419305355154229,6.987231542990435,-1.5664069021056686,-3.0518829840836657
-0.43752864907967615,-0.9987545857435689,-0.6460631021900652,-0.2857282647994774,0.2934387546792406,-0.03675496378259384,0.3361584705898143,0.13183383922387873,0.12434680190150932,0.1184254487930369,-0.07103484979598464,6.561463486205692,-1.3716711336972491,-3.0568554369439767
-0.6064036929130128,-1.087748242253855,-0.6093560749237288,-0.31668034616670804,0.3696633359243089,-0.06087576229659998,0.25519805677248497,0.11213203317787879,0.14421353516936386,0.1484456611440098,-0.03907689296941882,6.113569892862437,-1.7123940984514991,-3.045833949078425
-0.6032521764433971,-1.0958173793107293,-0.607539035354908,-0.3237217624335633,0.3587120224586651,-0.05313762962634958,0.2689851900003719,0.14530510421166362,0.1390837437628688,0.12646506841159763,-0.03254143237391158,5.630059739993806,-1.7316555369891367,-3.052942791108934
