coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,coordinate_12,coordinate_13,coordinate_14,coordinate_15,coordinate_16,coordinate_17,coordinate_18,coordinate_19,objective
-0.010485110400589415,0.2549594869379782,-2.3087452861523983,-1.3493343795199972,-0.025599166302027958,0.17794049152896718,-0.03172591350313573,2.3323003956190753,-1.3468630544505513,0.02858468734928902,0.1976494457924472,0.02620323014439318,2.044870584931775,-0.01237597740975438,2.4772078657861893,-0.009588420914646506,0.04140138208398261,-0.08937603091916387,2.1648832230167856,-0.8533952525186872,-3.8587279860216195
-0.0026286405357496267,0.2500666855480195,-2.3049230328107573,-1.3311009812794012,-0.02181427094825581,0.18201983148798379,-0.02713495327451009,2.339350480188411,-1.3477625680123861,0.03317487249188458,0.20199454200254047,0.02900091454256943,2.0363787986075095,-0.022296019318064242,2.4999319991835343,0.008545349723556072,0.022096442366480642,-0.08982914966372045,2.280622379929662,-0.9324403645591688,-3.8659413749453395
-0.013208669120831074,0.24471364817497387,-2.310342651838798,-1.3534254549559723,-0.031167756194297593,0.17432419798857124,-0.006399374665834204,2.3385504803352686,-1.3483582147524427,0.036237734813238685,0.20345995167243572,0.0432460024271347,2.09259934347903,-0.015541205256466739,2.4404105353353414,-0.0015904253186054798,0.06846051889576327,-0.09291296701726914,2.100141600011974,-0.7616283986112363,-3.8748712187514345
0.009222748545396176,0.2713009562527191,-2.2951294309813437,-1.3303259552677718,-0.025910813696427875,0.1839601737249593,-0.020447240278034746,2.3320511837876685,-1.3360462546952938,0.027729332014692267,0.19407158405183766,0.02898337075901656,2.0024128055290067,-0.02039727487164389,2.4404858735621953,-0.0006600859480887099,0.07215504486028404,-0.11280842898063198,2.118680695833299,-0.7397164272530683,-3.865596543282294
-0.02046576956904045,0.23641099028146328,-2.302996398849656,-1.3350567837545528,-0.02324404813746575,0.17209108472078238,-0.023813373097612313,2.3338844082541375,-1.3397164161327009,0.030926124598583207,0.198900180384443,0.025582560244931943,2.0007314340530225,-0.021129238539287387,2.4933295769532235,0.0032504265605403353,0.024810913310218362,-0.07518132324289217,2.2647963959850874,-0.9511566769911787,-3.868081721656738
0.003941539016497186,0.25242912318010413,-2.2837889895131243,-1.331538082753352,-0.020431121824880202,0.18447130973071407,-0.028571872217338704,2.34304316555587,-1.3329069312801858,0.02404557857651724,0.1934557541456297,0.03085486417017438,1.9821066767504776,-0.0363887725211538,2.4939468842674635,0.020409982690305865,0.02283670640190638,-0.1006417457000856,2.356203349307523,-0.9203585604904181,-3.86549554166957
0.004652782734196448,0.26457024488815006,-2.2988003602137295,-1.3304529941789363,-0.028108042373310167,0.1870602472130895,-0.025058043053142114,2.339543847689059,-1.3413180830568199,0.030361670757090797,0.19974508059924584,0.03358659524848721,2.0267275971664676,-0.02858786234209576,2.4794735438122406,0.013469589641421576,0.04160451182923609,-0.08805354014948052,2.2889917634238874,-0.9013242346559427,-3.8694075149648106
0.006988425066108528,0.2631019245922577,-2.298283590193544,-1.3326659891205015,-0.018515355393387566,0.1838512512403628,-0.02225270641862403,2.3276531946051873,-1.347482520249271,0.025414333932135005,0.19537854849253333,0.024654187955620258,1.996174903021111,0.0009635362862638885,2.48175890388225,-0.013080643829130685,0.03921027632986918,-0.09556319577093926,2.1058876689433856,-0.8556166280623668,-3.8650202754139062
-0.00743864926974358,0.25203195695364944,-2.2942741725935876,-1.345871942087445,-0.01803488230144924,0.17091899792035864,-0.02531823085504884,2.3369476311189175,-1.3443263256810327,0.024027105146374555,0.21184324430730572,0.028904182092153743,2.049470637786464,-0.02911159068580138,2.4551350756901207,0.011715793083548802,0.056562498244038195,-0.0940661696164314,2.2497924056585004,-0.8331455888081604,-3.8647173803847634
-0.00984415983522502,0.2600529675812998,-2.310118304238355,-1.3336423989852448,-0.03248193931488574,0.16821242471495929,-0.02770187851874166,2.3258941395165293,-1.345975701590781,0.039908486110222914,0.19846252241600956,0.037639281584450235,2.0929642945227918,-0.014312507744932867,2.426329159933665,-0.0025574289676430677,0.07957625113803893,-0.10463359257568805,2.0344134820872943,-0.6849318859239619,-3.8675412945830305
