scenario,coordinate,coordinate_name,target,target_mcse,reference_size,successful_references,failed_references
nsn_p2_moderate_balanced,0,coordinate_0,-0.08013670597957924,0.003219427689397597,100000,10,0
nsn_p2_moderate_balanced,1,coordinate_1,-1.1529545689333331,0.0025177975658448046,100000,10,0
nsn_p2_moderate_balanced,2,coordinate_2,-1.102519745599696,0.0019857509924688615,100000,10,0
nsn_p2_moderate_balanced,3,coordinate_3,-0.09919591289729433,0.0013503174468370055,100000,10,0
nsn_p2_moderate_balanced,4,coordinate_4,0.18680803461736836,0.001745387495965489,100000,10,0
nsn_p2_moderate_balanced,5,coordinate_5,-0.028171339884042624,0.001355959685432577,100000,10,0
nsn_p2_moderate_balanced,6,coordinate_6,1.0051166412424881,0.002728980759853867,100000,10,0
nsn_p2_moderate_balanced,7,coordinate_7,0.9755806022841902,0.0027974091744805275,100000,10,0
nsn_p2_moderate_balanced,8,coordinate_8,0.017430996791402083,0.0014559076054530677,100000,10,0
nsn_p2_moderate_balanced,9,coordinate_9,-0.1285622050810511,0.002462823596222004,100000,10,0
nsn_p2_moderate_balanced,10,coordinate_10,-0.038005147615515725,0.0014872225827608848,100000,10,0
nsn_p2_moderate_balanced,11,coordinate_11,3.3579888084876215,0.023062026453329967,100000,10,0
nsn_p2_moderate_balanced,12,coordinate_12,-1.8880640181152528,0.014938541463876106,100000,10,0
