coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,coordinate_12,coordinate_13,coordinate_14,coordinate_15,coordinate_16,coordinate_17,coordinate_18,coordinate_19,coordinate_20,coordinate_21,coordinate_22,coordinate_23,coordinate_24,coordinate_25,coordinate_26,coordinate_27,coordinate_28,coordinate_29,coordinate_30,coordinate_31,coordinate_32,coordinate_33,coordinate_34,coordinate_35,coordinate_36,coordinate_37,coordinate_38,coordinate_39,coordinate_40,coordinate_41,coordinate_42,coordinate_43,coordinate_44,coordinate_45,objective
-0.09851960960678519,-0.7562463068123398,-0.7039220160325002,-0.7175521561096543,-0.7243993958470217,-0.7149578026614506,-0.06713688251072035,0.22465212199737047,-0.028135922419281225,-0.018503962359474563,0.24654478486230916,-0.05040487876354783,-0.06168531037235885,0.053573153646128205,0.21489754421593155,-0.04862838930892401,-0.05935727288800014,0.011869597665732404,0.02574834535032582,0.21873099225201673,-0.04052698583432211,0.6465274743662266,0.6330723892139374,0.6356111142875895,0.6331482764944871,0.6165971752720844,0.003369478297416912,-0.1329999777233496,-0.021671988718052416,0.028870551913392863,-0.15066339644902177,-0.01345857846771254,0.004187619929391762,0.007180792540961735,-0.15752008178149596,-0.014752819619420158,0.020526494310875252,-0.012436171293063458,0.018735923916541636,-0.14050006718943817,-0.011875592414452182,3.148398787173984,-1.937617688821116,0.10107328087848882,0.1041263315477625,0.14357111108961657,-7.379008358582168
-0.09851960960678519,-0.7602533504864082,-0.7108974326269784,-0.7249902672421694,-0.7242416573043763,-0.7111255014972763,-0.060461107576564754,0.20528647783624526,-0.02758132108127213,-0.012143227237921817,0.23393533972186278,-0.05099856704617424,-0.0657261042514549,0.04392012059183955,0.20820869902933584,-0.05100689902064317,-0.06782327868483931,0.006816703726137256,0.02800450742614947,0.223896055732538,-0.04706295609616748,0.6393937898460008,0.6378684763172559,0.6366397560499818,0.6444329540911586,0.6173900074421924,0.0025011995848528996,-0.14442984695205519,-0.021763037072664825,0.030706684825127055,-0.15998918251741195,-0.020555423337064897,-0.006537093069290095,0.0043739975140156115,-0.15153072298362005,-0.015411661357945153,0.007151865569833411,-0.01873254250309952,0.014452370383306731,-0.14362354678945738,-0.008933662336341039,3.164080008341061,-1.9639975724025311,0.08263386338452078,0.05572905016831466,0.08764010189253514,-7.37430992328133
-0.09811864216144817,-0.7503658414414112,-0.7045961680225413,-0.7216115563581564,-0.7214229875490193,-0.7089552840352789,-0.05251117089106741,0.21016809622714588,-0.023373599523777613,-0.022151564511298693,0.24670857151420414,-0.045959770430591004,-0.07532380395396286,0.05202544412329029,0.211937084750881,-0.05112648052789566,-0.06826125177605348,-0.0013085208099580653,0.029688247199266066,0.2174311449839232,-0.03880934883391406,0.6353161390911146,0.623433220911112,0.6254748354997295,0.6352933017931907,0.6211215403741062,0.011270671361336197,-0.13021091103387214,-0.028105695924070164,0.0387949556882394,-0.16109313245527296,-0.014767743826953984,0.004318038410648707,0.007435501546333915,-0.15558808475800207,-0.016980166664744417,0.01932069000342911,-0.019201112518439357,0.014021061478750032,-0.14072379424493758,-0.014203234903801574,3.152247853653648,-1.9039049392055851,0.1402703181943209,0.11810666771703994,0.12219720649162093,-7.388062408360657
-0.0710698989919416,-0.7458557916250972,-0.6999951240431885,-0.7202539027296725,-0.7215800386617511,-0.7052881725093717,-0.05473972897229767,0.2088968432525445,-0.025002647882737195,-0.016456291562147753,0.24521105584288586,-0.053419481487725094,-0.06473948114685661,0.05989068059888067,0.20515365917516884,-0.050465782378245706,-0.06578886151158964,0.007238404573312618,0.022099314564590935,0.21625111797005694,-0.04188756645960454,0.6347952641175976,0.6204484353011971,0.6323269545189124,0.6263102201099717,0.6146507594588306,0.01704919009506669,-0.13742888862520924,-0.031079799477677212,0.035640440846220756,-0.162051412546262,-0.013582979028262488,0.005978793181705404,-0.00307298320120928,-0.15690383091112947,-0.013383465577102032,0.020258601030801314,-0.022919634635464568,0.008467085521353938,-0.15046360515610635,-0.009152956478392453,3.296265635102007,-1.938539309062978,0.14876456096561505,0.15083065205132393,0.1538844478218695,-7.387537063573963
-0.09627429291887213,-0.7590273787013364,-0.7033723026735201,-0.7243826469977817,-0.7281101886004626,-0.7143516905520255,-0.05640325846570867,0.21107890476515415,-0.029200763265720065,-0.01590380861608501,0.23824149518599763,-0.044861830087197234,-0.06578910585895126,0.04634808933703865,0.21367023443084257,-0.04885077607738047,-0.06995072567150949,0.0037972888944507984,0.026760888675721288,0.2175886338748347,-0.04523826260196185,0.6381209521256903,0.6462039974214523,0.6342993466844752,0.6448530785892217,0.599006719394275,0.007280252057954433,-0.14963077908512518,-0.021061671086062172,0.03798428973877448,-0.15635545557059236,-0.011055432936378133,-0.009337393677466733,0.01451594424401588,-0.14833785602811994,-0.01026391537912375,0.03528644221291376,-0.02894427904536425,0.016964199727195577,-0.14727579016370565,-0.01256340516048072,3.2223795213297315,-2.004204432001374,0.055016398740006384,0.09291493598611865,0.18571038171072582,-7.387381381482315
-0.08697478610964127,-0.756942871079058,-0.7065532434614245,-0.7230364558904969,-0.7157901755829348,-0.7043687643617333,-0.05347322063053501,0.21543477478105666,-0.03124252119341319,-0.011385055324881257,0.24730031833330224,-0.05519034289637059,-0.06897456484069847,0.04472405180309253,0.21143876782431703,-0.04969559538346821,-0.062380982318130954,0.0037503631961979243,0.031863489951941076,0.22296713625163872,-0.04602455181858322,0.6486898307042054,0.6521015112783595,0.6501306775386024,0.6363026158239063,0.6263597875026226,0.004493152473524713,-0.15320482168360425,-0.009666785702857401,0.023648522448019793,-0.15777556548674115,-0.017455595572630198,0.01460818120391199,0.008191883911253525,-0.1551371283271097,-0.01759177372530241,0.012570945672237287,-0.011221097352965385,0.023451482997853983,-0.1506384524571891,-0.012528518417034704,3.1850299108210494,-2.0318948959712224,0.060192268452284065,0.11387378507883128,0.12266548447393583,-7.380804266895202
-0.0739136321931797,-0.7501381749124638,-0.6933149542031204,-0.7180252309368221,-0.7140047034411835,-0.7050618698452565,-0.055324180581959356,0.22382372066474548,-0.027791023606563905,-0.009491761119639563,0.24302128642621887,-0.05379592925280339,-0.06556197104045836,0.05002800516835903,0.20167149725943312,-0.055287965654624245,-0.0634477893811535,-0.0023173599346280847,0.018927474495892042,0.20765697127628893,-0.03434817246157463,0.6361945732044496,0.6131084039368828,0.6181202769103696,0.6403134768742166,0.6124746389005848,0.010149345400201869,-0.13264933292228678,-0.027701321968738483,0.04062818950479886,-0.1660819043835851,-0.019455024727096013,0.002064301823017858,-0.0038939041977551153,-0.15042991460079824,-0.01867473080744782,0.015562519064069984,-0.019941847793230928,0.026822952437959065,-0.14578091590771852,-0.014986594534936289,3.2554715634782614,-1.9202846105319151,0.19620208572123626,0.1333546210861234,0.15436607449443843,-7.377092358405308
-0.09118312497737169,-0.7492739105682144,-0.7054474966528405,-0.7254857889793109,-0.7264921156666502,-0.7221785054040056,-0.052138309899273205,0.21560707546382585,-0.02642682760929078,-0.019588520679541015,0.2382604396929313,-0.04729618925728165,-0.06888220399855285,0.049151553112646774,0.21171133641725295,-0.053271870671376016,-0.06339251763884922,-0.0005997892948069469,0.025831736748032238,0.21664423973500796,-0.039912944421849096,0.635000176077188,0.613025205712929,0.6363883864145468,0.6211544762310757,0.6137028409168162,0.0019584772682395015,-0.13418873162474065,-0.03015317564395845,0.02398842466324895,-0.14846075307795809,-0.01724781413098664,0.021414477112582275,0.005971519187678341,-0.14727651539991699,-0.011414650429287418,0.02372622816939352,-0.018003968856323813,0.020518033325232835,-0.1475590869394066,-0.016598945809734717,3.200776719527789,-1.9230415373103131,0.09590666614328174,0.17398380540920375,0.15795337673937265,-7.378465746478136
-0.08982033823213298,-0.7484399072534789,-0.7078344090446134,-0.7229916880946822,-0.7207847193716961,-0.7134894923936107,-0.05323291141146251,0.21033322290058984,-0.032176035971899414,-0.012461926496356447,0.2395716588449171,-0.053750331377809976,-0.0698783428938504,0.04437335897968517,0.20775605997159718,-0.056177903885232666,-0.05516593865535873,0.007151094277318288,0.03510150813984687,0.2181146989331094,-0.044277382958960214,0.6353232869684111,0.625248611619887,0.6434465453279723,0.6307410868700568,0.6308006684173715,0.013341724849776018,-0.13151736984637233,-0.024162092101750198,0.021067402657155284,-0.15036570990029954,-0.013846767588539949,0.00891066523776126,-0.004475199134034258,-0.15354672425825364,-0.019472626696782448,0.011722934479321599,-0.01273089418589843,0.018379546944531304,-0.1478246733258236,-0.010881234224854076,3.1790527287138346,-1.911278041823855,0.08768242091506581,0.13148361241964227,0.0722538977008419,-7.3791530317887615
-0.093708513270921,-0.7368766937790092,-0.7001083192004912,-0.7194669769176536,-0.723427328728787,-0.7243958870233289,-0.04865657113211395,0.21703350250087422,-0.026711337036516545,-0.011880413048153004,0.23485510179428112,-0.0548083524779432,-0.06260740863324045,0.04299781005859285,0.2080827144742359,-0.05281349491964462,-0.06962480950373022,0.003656795336639306,0.020385434214677877,0.21964346865283535,-0.04413098457141799,0.6426144605514472,0.651208177281342,0.6366070111132374,0.6357556698540704,0.6307529868679935,0.002353090137623908,-0.1520560731264755,-0.02470452636386134,0.02836140107821406,-0.15053259493948107,-0.013489793840707025,0.0005768788293154137,-0.0005398327745554019,-0.1515818746861504,-0.018030409023382394,0.0191522679931373,-0.02448166791315786,0.01178810200515452,-0.1498966143279745,-0.012507537466612748,3.197864661075873,-2.018419520962959,0.09800659663762568,0.10133366274236624,0.12777816903243938,-7.377023067887097
