coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,objective
0.12287436449329303,-1.0915300545589812,-1.0843076995407415,-0.05204268247774373,0.13092572084447787,-0.05668747704743122,1.1769994810892692,1.1681440439834483,-0.07022992571958511,0.005148680559960014,-0.06042685532317914,1.4193171427359004,-3.563121957785535
0.11922101338529945,-1.0870280595736503,-1.0909372072008894,-0.05110596515295748,0.12868974017337448,-0.06785045096741461,1.163895404659808,1.1705640677437732,-0.06415280792252859,0.004685339585643263,-0.07055728919847212,1.3799569678582266,-3.5602811551439193
0.1353261433279479,-1.079483997500135,-1.0901179663378042,-0.04915618797429802,0.12301528488597624,-0.048873247192890094,1.183649272729207,1.1878215056206387,-0.05663640051239432,0.010337611367991653,-0.062382114945199754,1.4380205098588092,-3.5710056349506467
0.14091270608660655,-1.0793740958783422,-1.0728415286644715,-0.05714459426640696,0.1366218539153067,-0.05434886160648757,1.1745195781345603,1.1678189914565156,-0.07618620908848131,-0.0026522436158305466,-0.06653070484657989,1.3562006360756127,-3.560593864371593
0.12034503565279642,-1.0849428826374592,-1.0852115151777861,-0.05115476654315402,0.132516170530683,-0.06684905374644301,1.172810106166088,1.1738946988335603,-0.05526893907159444,0.0022231882174593904,-0.06021790956459523,1.4152707843237429,-3.5660202949043507
0.10601919376539404,-1.0925812003479756,-1.092454220421217,-0.05782287891759136,0.12858110514729734,-0.06984332965586805,1.1630725132307989,1.1626824002759342,-0.06695345431590594,0.007916909386614771,-0.05444901806130422,1.3861239328637016,-3.5627680469435696
0.1371345077891063,-1.0855532199310858,-1.0777514552352914,-0.06035942162726614,0.14268643670706407,-0.058453842032154944,1.1926883926891578,1.182168820471555,-0.06691835320446388,0.011733911054389708,-0.05035239485336723,1.3901015943517223,-3.5654328406645592
0.13608964787087596,-1.085698425708951,-1.0828333484645416,-0.049221242924185976,0.1369692601074546,-0.059135913317839635,1.1768881045763169,1.1751706522889747,-0.06618433323305985,0.0036741294381620873,-0.06389660299290069,1.4048704097097136,-3.563646996925875
0.11304021623157512,-1.0910176966251597,-1.091709594210467,-0.05854383649815764,0.13173281631435127,-0.0628417685683951,1.1711003202276817,1.1582847368127172,-0.07761582947459124,0.006458306470741734,-0.059784198077800395,1.3745372125705093,-3.5589687546708855
0.11709360516474876,-1.1015118933200945,-1.085179402246155,-0.059129365778135344,0.12431465474713733,-0.0552262875656838,1.1768695322630802,1.1718134914510399,-0.06971230765736249,0.010201483546204747,-0.05416374639857095,1.4084125703319408,-3.565076884754547
