coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,coordinate_12,objective
-0.09298694364014637,-1.163860654021437,-1.1058616515364303,-0.10054948013201513,0.1923917649717091,-0.028702167477154858,1.002936038519159,0.968682651143367,0.014533322401741922,-0.11730585285093069,-0.03499564553983591,3.357270436105536,-1.8811693264558134,-3.1894941971782735
-0.08829732220575703,-1.155918386644856,-1.1047072766326638,-0.10149623994057609,0.18509037740279632,-0.03088756940399221,0.9886451370541963,0.960117948676422,0.027584595675540745,-0.12069050613438398,-0.042948743285396745,3.4196894797607515,-1.8693158599946844,-3.1900617513358123
-0.07799952122754605,-1.1469301336593596,-1.1123053809586498,-0.09632368780115559,0.17604050884406774,-0.017173162112863398,1.011815030389652,0.9813367723741424,0.014985322330652922,-0.13392317099564297,-0.03650429034624891,3.2017357936531674,-1.7987914775829186,-3.202600215595173
-0.07195102450979529,-1.1455384227812386,-1.0967157535465721,-0.10008589150922755,0.18702468617620593,-0.02853033322261492,1.0009749013207978,0.9783515643420235,0.017052551836487462,-0.13691003672465088,-0.04067121297960339,3.3390710035488693,-1.869024138468109,-3.1912479092981503
-0.08541188681270118,-1.1549015002005905,-1.0966972833400033,-0.10129993608895675,0.1874770340868959,-0.028629628559875626,0.9995725759514227,0.9697314397231396,0.02177503288590162,-0.1260050644419442,-0.033144187515740615,3.4439823626721098,-1.9395446769485274,-3.1925837002194712
-0.07327276524312298,-1.1458448986868797,-1.0957019552014657,-0.09724958093327796,0.19059716913184954,-0.030100941312220977,1.0140210817039799,0.9853867728809075,0.010498745197609459,-0.13119760395871274,-0.03678592132870562,3.4007721025580295,-1.958843541917661,-3.188150085746604
-0.06422206441684475,-1.1459056146677786,-1.0982305213080066,-0.09928343178109364,0.1946572859902759,-0.03201174406588107,1.0082929303207813,0.9733195978488941,0.01642033759933722,-0.13611399376595473,-0.044397785229981515,3.3875176219028402,-1.8837390141591714,-3.1875294616110854
-0.06862692141088578,-1.147539579144333,-1.1012275483663347,-0.08980419545867942,0.18938602228693896,-0.025374625826940396,1.0193058322779467,0.9909340039007355,0.016943451359734067,-0.1389668242013934,-0.04194939588862222,3.3627731436021797,-1.9247576844437202,-3.196320733209936
-0.08861794859498551,-1.1556247164762365,-1.1128375187765405,-0.099500205561815,0.18078779063720848,-0.031242772976915904,1.0028481772788211,0.9744329829638088,0.015691802637659725,-0.12177730644158143,-0.03920640620137157,3.2704074938743384,-1.8452123125074564,-3.189909445342921
-0.08998066173400743,-1.167481783050623,-1.1009125663302917,-0.1063664797661461,0.18462770664573586,-0.029060453881966902,1.002754707608125,0.9735122889884622,0.01882480598935568,-0.12273169129531572,-0.02944788783965076,3.3966686471983967,-1.9102421486744678,-3.190987053620655
