coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,coordinate_12,coordinate_13,coordinate_14,coordinate_15,coordinate_16,coordinate_17,coordinate_18,coordinate_19,coordinate_20,coordinate_21,coordinate_22,coordinate_23,coordinate_24,coordinate_25,coordinate_26,coordinate_27,coordinate_28,coordinate_29,coordinate_30,coordinate_31,coordinate_32,coordinate_33,coordinate_34,coordinate_35,coordinate_36,coordinate_37,coordinate_38,coordinate_39,coordinate_40,coordinate_41,objective
0.016920403681159324,-1.1237728340712583,-1.1224100436787725,-1.1162908419152733,-1.1193265822811753,-1.118457180576845,-0.014793355424460497,0.24339065895310114,-0.032643967558338066,0.04242895416213107,0.2333837448581012,-0.031315322146663646,0.004901747902309256,0.047723906827649376,0.23814898076066274,-0.03236451152371079,-0.003230980724709462,0.005802030864411275,0.04881598598277357,0.2340934029027974,-0.031198048688350667,1.1321791413324465,1.1375578680816152,1.138113315722859,1.1375436537005448,1.129489430336111,0.03251241875863214,0.1807946697810908,0.016965469090508868,0.015021155365082401,0.19222268961619235,0.02521965046205144,-0.01688802487241963,0.021003279256262216,0.17655317167231407,0.02128188908883087,-0.02228165977666438,-0.015191820016904879,0.02426640211371207,0.18014843111876833,0.020674858168078777,1.4357700503238904,-8.142581942501186
0.018040489271090032,-1.1266035456405692,-1.122896310205651,-1.1211923582238421,-1.1170017133880101,-1.1184770998638334,-0.008691838178218803,0.233409562448543,-0.03167140666732992,0.05210265405492325,0.22962190697232943,-0.03694405311575781,0.0032383958735234765,0.048002352304352174,0.23560588249937794,-0.034797023652248765,-0.015544929393441312,0.005342230409405359,0.049272249569185606,0.2350182000423961,-0.040152070213204875,1.1244366814585187,1.1272443220077428,1.128931647198311,1.1262771040339261,1.1255837422096295,0.031284456772304965,0.18843125881905395,0.014741594953998235,0.010329493755216254,0.1905294203388238,0.016489888106399824,-0.022321174182517993,0.02458088333863444,0.19302804768105625,0.015673961995074634,-0.0201397194403941,-0.0145533475635005,0.0126158208554824,0.18074811477748098,0.01437042219737969,1.3845338966226726,-8.137564200673896
0.01596033879267289,-1.1213697476084494,-1.121806420301833,-1.1181262986427418,-1.1163444855952378,-1.1154299429924754,-0.002881650732737418,0.233568987256991,-0.029185761489983326,0.036841237953429036,0.23986143542693117,-0.028792657981944428,-0.009205884194218975,0.05067123216142877,0.23882538310098567,-0.034456643228897334,-0.01960063272342456,-0.006521104574189479,0.05280865493754738,0.22938574267837908,-0.029378924552236507,1.135681950936216,1.1306933066965303,1.1259613370668526,1.1359803494990814,1.134782771494889,0.03574755134070177,0.1834270073171596,0.01650457242473017,0.021625428445555157,0.18093451704427613,0.02102647503708424,-0.014656473558019438,0.0146542012848027,0.1785680106962664,0.016084221802750386,-0.02420897767172991,-0.013251587483940659,0.016362189754770478,0.18021898240691234,0.028056177799305415,1.4168797177076666,-8.156574568522876
0.03312302803719336,-1.1218455948745394,-1.1198255287429948,-1.1210762366655147,-1.122175426107455,-1.1152509868069473,-0.007832099083814267,0.23001931481155663,-0.02740155840758872,0.04216428300877833,0.23775047067209965,-0.036160338163763156,-0.0020659327471479368,0.05270570926480039,0.22877084382903656,-0.03382010338726124,-0.01745924148816037,0.0025800345630435048,0.04285650722852906,0.23016913424682586,-0.03462080873747538,1.138690618683043,1.1332450502570537,1.128137872995033,1.1389000208441562,1.1348447768966765,0.034755995225910365,0.1791113270602313,0.023446908462452478,0.013765884227769592,0.19339899973790387,0.023328384591744567,-0.028137037422950626,0.019057895069521578,0.18075405057569185,0.022705462114019886,-0.02900454755374829,-0.015101218932582637,0.020564831713610388,0.1889244644728444,0.026264911955853926,1.4235369547537493,-8.149367613446504
0.025561391694352453,-1.1239544727683835,-1.1150357681796972,-1.1195187367589077,-1.119741569948769,-1.1175519832077998,-0.0033942660511734166,0.2372408996754505,-0.034136685101992484,0.04747747485415122,0.23321952096885953,-0.026397565238392824,0.0074641284582550645,0.046751958809820644,0.23421747469637966,-0.029948219924904356,-0.01293094234658033,0.004153826969855431,0.04877773439146408,0.23009291910685004,-0.03468554413863348,1.1311511060990047,1.140544429405544,1.133755442462334,1.1387522613906724,1.1318837447281709,0.03374682412163512,0.1865309255287292,0.023772610902675864,0.018317269454476228,0.18561088193143735,0.029324872029650662,-0.030409828680200177,0.016717736828564495,0.1790489069132027,0.016761813885292916,-0.029745861722244624,-0.008200448693352557,0.017159541935093232,0.1771015709419676,0.021021133755646255,1.4485096248548752,-8.148272205416433
0.0279618217181552,-1.1273476353753606,-1.1231536805359306,-1.119761720729936,-1.1098238483890983,-1.1096700906701682,-0.0032345754483130763,0.23769064543708773,-0.03627671756821182,0.04784816958534372,0.2366071427185395,-0.0358259370074801,-0.001544154961500409,0.04011240729479703,0.23525065301643946,-0.03230081701517603,-0.01338492154909248,0.004509882528295925,0.05329628975344879,0.23678907690568093,-0.03549949422704123,1.127198321360152,1.1304032161091635,1.1349614987988155,1.1349396875859077,1.1296054699214133,0.03876301589278057,0.17650197832908493,0.017414079455228937,0.019940344983502455,0.1897826398420406,0.02192967725575398,-0.016943951267635943,0.015131812400955028,0.18192419994292733,0.0211223954341945,-0.024410100816988425,-0.016401569297382766,0.02147335361769812,0.17953208778404825,0.01643274517466787,1.4133268373006806,-8.144149993051258
0.030322323091082515,-1.1239147683775617,-1.1141632490797118,-1.1202603262170063,-1.113937423278329,-1.1135995124991973,-0.006577272726099695,0.24209680362947997,-0.03637987396694229,0.047721457893680486,0.2355779524234032,-0.03752304800810716,-0.0036065489989776196,0.04459194358860777,0.22434271596450392,-0.03851449482916679,-0.012827751983604597,-0.006990417089804084,0.039481517290722266,0.2250430712142992,-0.027639430801359603,1.130050971749114,1.1328464312162414,1.135671295112927,1.1326878533937874,1.1348574308480242,0.03318386354674194,0.1881398599202581,0.020340472993485587,0.011865358724580088,0.17819940856072003,0.02090361137060921,-0.019663485956278003,0.027713936146515204,0.19339284683827018,0.020721649076552544,-0.033056057334271846,-0.0107797331739774,0.011656482348533757,0.18240569653099817,0.017418098378204547,1.4324525630326557,-8.135719802924218
0.02636152651206214,-1.116487803035793,-1.1217267259597619,-1.1224924995137204,-1.1227673947509966,-1.123561294754887,0.0013177944678541254,0.23818280694240027,-0.03285565186861565,0.04221345930090198,0.22913276348593806,-0.031001232649037362,-0.0022167169384043886,0.04617999723297641,0.23331016765339868,-0.039429795462828904,-0.007504555065678318,-0.002416611444312543,0.05175331497910352,0.22974972803853647,-0.027272711583925798,1.1368534166506972,1.1257987662379927,1.1258356393917028,1.139376182900213,1.1450340743866125,0.03459370374590924,0.1833838912906413,0.024140415673803147,0.014338051256141621,0.18705032438613378,0.025284668995270303,-0.02775607613882824,0.011107741815503646,0.1797393648857791,0.016483176662677596,-0.02895187191158666,-0.011047385354414218,0.014557568983489701,0.18389642678888718,0.019289832129870434,1.4225148875135079,-8.151465989705205
0.019520619844878073,-1.1201105817675696,-1.1252981825754587,-1.1243738258281415,-1.1129705965233498,-1.1214635037250995,-0.004976172756127901,0.23541863166348298,-0.03717629165292119,0.04288377943370732,0.23153831348667547,-0.03644801958372051,0.0012825110945517398,0.04122403261809999,0.23061015136647295,-0.03433269704351987,-0.00598120171757346,0.0010281892260889994,0.05250580605547562,0.23147423718948618,-0.03494828951765642,1.1385414301484234,1.14015407247344,1.135109298946635,1.1335976923288411,1.1248676697569306,0.03302414656987419,0.17998693834606716,0.019601415266458786,0.016206645541153874,0.18691081160233877,0.01810752692996751,-0.009667215740329733,0.012758485271526575,0.17907178821145175,0.02937295230181816,-0.02937814764643814,-0.012560621139575573,0.01946373069018245,0.17973354358325472,0.0250590980296651,1.4267317172024103,-8.145462217856592
0.01680039515272924,-1.1074844199341085,-1.1168423776452898,-1.1185977155130857,-1.1236690986531623,-1.1282999623811476,0.0018036907935002299,0.2434396292772008,-0.03375103276614027,0.04505974728079193,0.2273089647878687,-0.036407245319405375,0.0002539452565084266,0.036799216070981196,0.23286276658210434,-0.03735198283126265,-0.013589397648613834,0.001518700637593649,0.046544803937292885,0.2309117607275926,-0.03186019540661855,1.1298246179802554,1.1309251414965107,1.1341387294011116,1.13721931764069,1.1393223881674768,0.03292208471909164,0.18579566632818773,0.02058313600052106,0.027427031052825273,0.18076461356515472,0.02453797178637315,-0.02163423085588565,0.014613998636451075,0.185262609297766,0.0191551922445226,-0.019836002601668703,-0.026926134627914464,0.014585025692202254,0.1803092945450598,0.017826203296169563,1.3923435254588141,-8.154551388471813
