scenario,n,replication,status,method,bandwidth_multiplier,coordinate,coordinate_name,estimate,target,target_mcse,error,squared_error,estimated_se,coverage_95,interval_width_95,curvature_min_eigenvalue,fit_seconds,fit_initialization,fit_classification_objective,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight,minimum_kernel_support,bandwidth_diagnostics,boundary_shrinkage_factor,raw_generalized_boundary_eigenvalue,error_message
nt_p2_strong_balanced,8000,96,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,20.121418258873742,kmeans,-3.5673107935460884,0.000339665898664,4.0,4.0,True,0.454875,,,1.0,1.0208710339309823,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00713949.
nt_p2_strong_balanced,8000,96,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,20.121418258873742,kmeans,-3.5673107935460884,0.000339665898664,4.0,4.0,True,0.454875,,,1.0,1.0136563194639523,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00458199.
nt_p2_strong_balanced,8000,96,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,20.121418258873742,kmeans,-3.5673107935460884,0.000339665898664,4.0,4.0,True,0.454875,,,1.0,1.005149903231963,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00180047.
nt_p2_strong_balanced,8000,129,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,23.092315091984347,kmeans,-3.5527854733194406,0.0220818415700896,4.0,4.0,True,0.4835,,,1.0,1.054551809906778,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0206103.
nt_p2_strong_balanced,8000,129,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,23.092315091984347,kmeans,-3.5527854733194406,0.0220818415700896,4.0,4.0,True,0.4835,,,1.0,1.032512605791288,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0118592.
nt_p2_strong_balanced,8000,175,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,21.64773657498881,kmeans,-3.5734472005712496,4.750838945444258e-05,4.0,4.0,True,0.47075,,,1.0,1.0025609417586658,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00113848.
nt_p2_strong_balanced,8000,205,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,23.47031050384976,kmeans,-3.5843869856670727,0.0357053062293157,4.0,4.0,True,0.447625,,,1.0,1.048107034478731,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0169433.
nt_p2_strong_balanced,8000,205,corrected_raw_failed,corrected_raw,1.0,,,,,,,,,,,,23.47031050384976,kmeans,-3.5843869856670727,0.0357053062293157,4.0,4.0,True,0.447625,,,1.0,1.041428945284237,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0143208.
nt_p2_strong_balanced,8000,205,corrected_raw_failed,corrected_raw,1.5,,,,,,,,,,,,23.47031050384976,kmeans,-3.5843869856670727,0.0357053062293157,4.0,4.0,True,0.447625,,,1.0,1.00792217260056,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.00246235.
nt_p2_strong_balanced,8000,212,corrected_raw_failed,corrected_raw,0.75,,,,,,,,,,,,22.17715985211544,kmeans,-3.580306654839641,1.998348006715389e-05,4.0,4.0,True,0.4715,,,1.0,1.086155270041533,LinAlgError: Estimated positive curvature is not positive definite: minimum eigenvalue=-0.0355228.
