coordinate,target,target_mcse
0,0.051479160821583804,0.006734462935183485
1,-1.4983315358293605,0.008078114025646038
2,-1.5028830927170445,0.016191633130447823
3,-0.012284654956403532,0.006674713459000046
4,0.1484438886935375,0.00941793580898581
5,-0.034189294330458676,0.0036209368053368284
6,1.5396242918846663,0.018806619073952115
7,1.5182083416184742,0.008142866428357712
8,0.02962910937982222,0.015126723404532678
9,0.06717506454898667,0.0029371273212115308
10,0.027682660231634137,0.005652137900890376
11,1.6467797786754943,0.0424367082556478
