coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,coordinate_12,coordinate_13,coordinate_14,coordinate_15,coordinate_16,coordinate_17,coordinate_18,coordinate_19,coordinate_20,coordinate_21,coordinate_22,coordinate_23,coordinate_24,coordinate_25,coordinate_26,coordinate_27,coordinate_28,coordinate_29,coordinate_30,coordinate_31,coordinate_32,coordinate_33,coordinate_34,coordinate_35,coordinate_36,coordinate_37,coordinate_38,coordinate_39,coordinate_40,coordinate_41,objective,fit_initialization,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight
0.03412331071403396,-0.9616628968240335,-0.9602758556694929,-0.9535584504089731,-0.956460631292782,-0.9551094565387396,-0.021971287844294494,0.23096444773216243,-0.036254933661245166,0.0312804827371898,0.2259490682818544,-0.035995806787224735,-0.009271347810635423,0.03844149688823688,0.22935419183347708,-0.0349063394489455,-0.015582466194113727,-0.0021609425966845506,0.03811747197992062,0.22393936634394884,-0.033814405499118544,0.978517009073433,0.9833979211042476,0.9835048819321858,0.9828485012364854,0.9744439491359396,0.02196484732472758,0.16407802466246363,0.009287876581358396,-0.004143966478616566,0.17792231417661544,0.018968138644368488,-0.03551843684376804,0.0051807551145218655,0.16191679896672578,0.012422636246945515,-0.0411567113208784,-0.0315784521978703,0.009852824571629226,0.16617874285638204,0.012600761923112123,1.4126350324529273,-8.112768349512134,kmeans,0.08041563161080667,4,4,True,0.49147
0.018640539733175143,-0.9718727804024235,-0.9689891624595061,-0.9684369747262275,-0.9608651146225794,-0.9619525603545738,-0.018235810521943868,0.21708934224228343,-0.038816765828471905,0.033140921834142696,0.21370377152427933,-0.04340012883179718,-0.013098422984499543,0.0333310266440037,0.22061596363260405,-0.039816432401112906,-0.033303047762832695,-0.009018202996513777,0.033315439562529296,0.224976947392279,-0.04516266752506569,0.9628759493852012,0.9662841765651278,0.9687406901670126,0.9633294158142014,0.962415711166764,0.023841551954380993,0.17472626528604354,0.008788062985368519,-0.005565475063499297,0.1782025261115345,0.008722817947899662,-0.035246486261419505,0.01346007827601145,0.18258074726216134,0.011249555961971917,-0.03202859446586815,-0.025995647677493336,8.858915697919452e-05,0.17148889890631014,0.008930066354540318,1.3769804458956285,-8.107113414731556,gmm,2.6194396607337467e-06,4,4,True,0.49534
0.024601240690624304,-0.9624795478860567,-0.96259093671788,-0.9598862607667192,-0.9587135706868178,-0.95702475820677,-0.00830704203018768,0.21995609292063625,-0.03174618073548219,0.020510283820860318,0.2297380614506885,-0.03311068137021974,-0.024229631492186876,0.03931512318707015,0.22757323497345003,-0.039646101273912805,-0.03346755536301241,-0.019872898749350502,0.0401541090703161,0.2165843323335605,-0.03321179558655002,0.9764102266969179,0.9715601763556537,0.9674493206107326,0.9779666323574336,0.9765788285079163,0.027061769659016268,0.17168449581289597,0.009994925144908082,0.008196567184506275,0.16946379748057824,0.014276155955238123,-0.030257890100905332,0.0010933504156818187,0.16541143289786261,0.008822577116687208,-0.04076196086628447,-0.025584688414802544,0.0017040267304757534,0.166836610708989,0.020078940198417265,1.4060706884755632,-8.127792494331548,kmeans,0.08209170390161091,4,4,True,0.49385
0.05097103255831692,-0.9575429475663987,-0.9557039511342023,-0.9569442485008819,-0.9613455852414811,-0.9533028946109676,-0.010878018447719762,0.21931969268231688,-0.028103934904220487,0.03115721636585619,0.23063842076300323,-0.03783586662379469,-0.016103359853505368,0.04029767920579921,0.2183266281908372,-0.03861769546363531,-0.0315209649838671,-0.009103423813352506,0.0336150324980298,0.21972411435255837,-0.03695892285115922,0.983055830377147,0.9774284028549288,0.9722300635257111,0.9864931449901081,0.9809003478556446,0.024797526016620865,0.1645932795103308,0.015373619315836508,-0.0009504739323125776,0.18074607578708052,0.01627939814143139,-0.047278092084545954,0.0031142084805758394,0.16608059185082336,0.012325332600651193,-0.04556465127586678,-0.029087439701049902,0.004737880700825785,0.1700929454262081,0.016969577728443312,1.404322552408558,-8.120885597507897,kmeans,0.08345899146709712,4,4,True,0.48726
0.03360316162341914,-0.9664074343058446,-0.9587135787216908,-0.9620955015137953,-0.9610702642898049,-0.9587641202173449,-0.01123852767806089,0.2209548182115053,-0.03981270595146034,0.03180638692752607,0.21987456814320783,-0.0317603937474339,-0.007394828947583018,0.03369035987133336,0.22325255846283276,-0.034278320094768173,-0.029048587768354946,-0.009930931757816222,0.038696098969138705,0.2190337288443921,-0.038621339313760966,0.9727076160802208,0.9828846285004396,0.9747120808378011,0.9791919054457376,0.9723718597815763,0.025097993692167708,0.17120152522641421,0.0163578208486841,0.002605183642216368,0.1731242383854003,0.023376916030847468,-0.04494404058474968,0.0032830218310484507,0.16810916631170605,0.010320590957573417,-0.0435928107913243,-0.02149609208859649,0.0033475646400140113,0.16661651624741614,0.013967829440655725,1.433230569188697,-8.118545490588188,kmeans,1.0677714890050538e-06,4,4,True,0.4916
0.039205020848002814,-0.9650929420627845,-0.9658852515124211,-0.9608861085598099,-0.9477128530061748,-0.9508068171999111,-0.00789927571934963,0.22498947398865285,-0.04463241271996692,0.035334859698159825,0.22310520522274208,-0.04103091817870836,-0.012113124577526736,0.02849615295876311,0.22759290340044147,-0.03466028953550287,-0.026060649094542095,-0.011349367748153535,0.04197297904830363,0.22655316080390092,-0.03979209144551923,0.9682641330367858,0.9760043857301559,0.9785834303574471,0.9758130376495953,0.9732847597819533,0.03181498323246407,0.16008222353171608,0.008749064312117628,0.005605204299128058,0.17422953376213568,0.015324217956310195,-0.0283971299033519,-0.0004769461646839358,0.16973141648399118,0.016056465298153667,-0.039537078146940505,-0.03378876280457976,0.005771290443541955,0.1675560112850251,0.006616963392444899,1.3941311655566,-8.114876915588258,kmeans,2.2110669826602702e-05,4,4,True,0.4902
0.04636830594551833,-0.9606765774058893,-0.951327877868682,-0.9568308040289188,-0.9505580523609403,-0.9522691112036994,-0.010745104487884306,0.23308500063475815,-0.039328800064948856,0.03697357839371673,0.2264954089039232,-0.03911029205541673,-0.0156802593576729,0.03543710602964453,0.21710315896338347,-0.04170107657695966,-0.026764183883461048,-0.016966219047804144,0.02863184677221982,0.2154192011172493,-0.03170080357404695,0.9741175438590395,0.9769422792558993,0.980064587663204,0.977215143818993,0.9808364638715137,0.023557037106716427,0.17167680363963697,0.013038610483638614,-0.0046515627637591095,0.16589113980540268,0.013139175637452372,-0.035150966595162855,0.013557010137858368,0.17978730805546828,0.013373991054670152,-0.05020011880710759,-0.0273473428991338,-0.004096492910757634,0.16634134594027408,0.007214324446282503,1.4126255378162202,-8.107388628914345,kmeans,3.2092581880860394e-05,4,4,True,0.48841
0.0414459318462308,-0.9538198252771956,-0.9610257826285372,-0.9607271192775785,-0.9595496162165423,-0.9642189681421902,-0.002402965997812444,0.22605591074642895,-0.03612486334894119,0.02805091130836918,0.2185693435323558,-0.03394662006538243,-0.01248954661515558,0.03334255470448763,0.22718882054750222,-0.0415719787991603,-0.022626902927919555,-0.017052930033854122,0.03955600053019563,0.2186391048149544,-0.03130289149831269,0.9801567695621559,0.9707018503988153,0.9697602755123329,0.9822863092984145,0.9905945446946903,0.025553200100707368,0.16754131351301896,0.016121644984772376,-6.29909109347097e-05,0.17315146043829843,0.0182711531606175,-0.042919739141190696,-0.0014564803891261612,0.16626307215242547,0.010124004304311505,-0.046386331164051435,-0.027937469603738992,-0.002221731568408812,0.1696667517557828,0.008789590514176293,1.4083017219164604,-8.122653131991905,kmeans,0.08044229752507448,4,4,True,0.48964
0.033043006145465736,-0.9624486037950605,-0.9669083619261267,-0.9633482292816404,-0.9491725395650848,-0.9584647341763358,-0.013989652879303514,0.21822128743462976,-0.04070475634572448,0.026949280650627606,0.22157046677854036,-0.039534031269506886,-0.012378443037124728,0.03007676443650653,0.22277352869173936,-0.03726379484586939,-0.020589218807619922,-0.013115536241422374,0.042730983249676065,0.2233547130112035,-0.036861113683501874,0.9845014671546417,0.9862894793823325,0.9787235706347138,0.9744428393406895,0.9665942245771988,0.02051024882622123,0.16012902361257714,0.009936745615113847,-0.003364988983398321,0.17176542012230867,0.011000208146521261,-0.02795847503066479,-0.0014927321870178893,0.16801327588158063,0.023735122455918658,-0.04781612065389795,-0.026160744447571264,0.006812543822673398,0.16910071710656951,0.017520009378110334,1.4082923403762835,-8.114991762556642,kmeans,0.08488282659796909,4,4,True,0.49174
0.026521554479979725,-0.9486025511773546,-0.9584079281079197,-0.9611966657246255,-0.9633727755058662,-0.9684600744367302,-0.006360907339350277,0.227653264658956,-0.037800216176368424,0.031126516183033793,0.21552532718477618,-0.04150537224732403,-0.01239584645770126,0.02681450627894883,0.21987222032671738,-0.039593302499668276,-0.02872070564535966,-0.009713519611632792,0.03234700834638553,0.2206682089547263,-0.03546123263703089,0.971953741084547,0.9734038879175854,0.9776658311647544,0.978392884958645,0.9808091375088741,0.024147194862073534,0.17163303869019145,0.01347905806920961,0.008667048883018294,0.1667895850438129,0.01668676437556196,-0.03768049861973475,0.0011034517200077519,0.17329030339345197,0.012676200246718006,-0.03579793019363415,-0.040793954224422876,-8.841153734719124e-05,0.16917158010729016,0.010428192956366232,1.3784903039778353,-8.12505688598367,kmeans,3.271598651188867e-05,4,4,True,0.49337
