coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,objective,fit_initialization,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight
-1.4085047732346467,-1.6022510258203775,-1.6044483574705832,-0.07983180004293276,0.10735937189067526,-0.09666506090187837,1.4995943893123376,1.4984172122680346,0.048177364371297014,0.18351558624847333,0.031891524775021295,1.5811534019654154,-3.597243566430765,kmeans,0.031171431001536742,4,4,True,0.19647
-1.398715634205337,-1.6046831605866558,-1.592292449698832,-0.07755145962222595,0.08744392018981026,-0.09390616067923722,1.5022193844569072,1.4965350095780445,0.052780215717462005,0.1898996654531797,0.03085865117672542,1.6055976119427062,-3.598402123455957,kmeans,0.0,4,4,True,0.19802
-1.4216055971865187,-1.6065647804962477,-1.6216760625264555,-0.08311881892825336,0.08893216117312318,-0.07572310650168937,1.5015397701548898,1.4981761159691163,0.053746347593736775,0.19077213856129516,0.039963484894983484,1.5712791979975196,-3.6115256086239858,kmeans,0.02996778687503543,4,4,True,0.19441
-1.3968905365795474,-1.5913610456175897,-1.5820380712474809,-0.09104495108316225,0.09873896353607203,-0.07613055628495255,1.5041756343723724,1.5009854333120154,0.04314766344465189,0.1855650398029971,0.03050403087482833,1.5634580088950873,-3.598460980477153,kmeans,0.029240818404923985,4,4,True,0.19831
-1.4217333040615314,-1.6018898869754017,-1.6038088978844276,-0.08283449885584976,0.09075321040477485,-0.09169179522866917,1.4972146862639208,1.4989797370411424,0.0551631613857874,0.18602505229337735,0.037614790273429136,1.616411041778808,-3.6002387205019093,gmm,7.478871966171141e-07,4,4,True,0.19439
-1.4242255834433002,-1.6003922412725342,-1.6119046432480002,-0.09152321160049771,0.08358733691167194,-0.10641464702352658,1.4998906164636312,1.4983588487223658,0.04974828757964603,0.19193623731651788,0.03412426952441722,1.5633920062873983,-3.5969731692727946,kmeans,0.03158352262741726,4,4,True,0.194
-1.4198187464661027,-1.5986835024914063,-1.5992206078733917,-0.09278715626123232,0.10254182690594044,-0.09938140836345043,1.5058199467976505,1.50188826982638,0.051590882214062155,0.19700586989447516,0.03896375173904682,1.5993777002118137,-3.598075612741596,kmeans,0.0,4,4,True,0.19469
-1.4128177728344133,-1.6040741142257242,-1.6111323471225523,-0.08695940947471709,0.09366605321756394,-0.09435292550144939,1.4911861698084974,1.4922085063327089,0.054593721523861674,0.19366017757576004,0.03303016680004243,1.5703410310421202,-3.6035903506071603,kmeans,0.0,4,4,True,0.19579
-1.4009210209632623,-1.581983003005682,-1.598566302563526,-0.07484289268305908,0.09342028326475323,-0.09109980990686842,1.501196202562216,1.494600020630582,0.04196787849657942,0.18536955496707325,0.026522408472254965,1.5420249613862862,-3.5976048935318996,kmeans,0.0314587828819719,4,4,True,0.19767
-1.3947533231789764,-1.5958439242542948,-1.5837498821701965,-0.08502380839172649,0.10013755880393539,-0.08979433228065498,1.499895208476004,1.5034321557536874,0.046793720192839235,0.18234416279894156,0.03388591065658882,1.5653692103732524,-3.6025483730405163,kmeans,0.0,4,4,True,0.19865
