coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,objective,fit_initialization,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight
0.006080018729746506,-2.1191734573076366,-2.1191017825784884,0.0019615062518453315,0.24589700330855258,-0.03295027744718961,2.12886532075608,2.12684065635108,0.041549551241934705,0.1788497744108404,0.02857228799975135,1.5495946132650424,-3.699010125195759,kmeans,0.0,4,4,True,0.49848
0.013800219012256254,-2.110526657162537,-2.114823130212662,0.0008612045291583434,0.2459362370416625,-0.0348949827739596,2.125493974144963,2.132084052850177,0.04300474244567639,0.1779785338543764,0.023338135891337063,1.5271835726757323,-3.697149938041778,kmeans,0.0,4,4,True,0.49655
0.008440050101500507,-2.116883629480105,-2.125586093079791,-0.0060650978167790534,0.23339305977994954,-0.01668169403176269,2.132868525107049,2.1329436837126914,0.054220353639104185,0.19167190700826192,0.03508310850482718,1.5993439470861075,-3.707328917983539,kmeans,1.0116032189699808e-07,4,4,True,0.49789
0.024721258936902357,-2.104711960763117,-2.106411910854983,-0.001165510149275579,0.24886849565600586,-0.029070059301115114,2.126212476610415,2.127470135704812,0.03934736799123604,0.17408609687769389,0.025038143757325458,1.5163339311478006,-3.698086242075224,gmm,0.0,4,4,True,0.49382
0.013160189931808675,-2.112639825524015,-2.108605957735108,-0.0005730138594213874,0.24356598284014175,-0.031741223397594054,2.1349944352508956,2.1325022018071604,0.04651557226764019,0.17688682702529293,0.032416690568272094,1.5627171018181303,-3.7006355243126,kmeans,0.02562785834768322,4,4,True,0.49671
0.018640539733175143,-2.109592025029435,-2.107987351126486,-0.0008441856638826068,0.25011390276099316,-0.033640154039421076,2.1368901418037756,2.1347702376524302,0.03493047821390985,0.17104621904339137,0.03389424619157401,1.530597658371368,-3.6972877303130938,kmeans,0.027338970285765818,4,4,True,0.49534
0.02456123464794635,-2.111325629430329,-2.110847351413179,-0.0041001889910084,0.25377558069328604,-0.03433605322118158,2.1454702230851916,2.1422824484392273,0.047591890824707155,0.1881346774039276,0.03636976448468816,1.5479197589709275,-3.7003337177792344,kmeans,0.0,4,4,True,0.49386
0.017480445105483078,-2.116849136315696,-2.1152611664149426,0.0015081475853000075,0.24593289597358503,-0.027152872161176747,2.128789764653439,2.128250430782889,0.0463831413208721,0.18308285905640168,0.03062352882477487,1.5860543634394901,-3.7001935823867282,kmeans,0.023784916052612903,4,4,True,0.49563
0.01016008739902785,-2.1141746131533448,-2.1217207939537723,-0.0009895839188598249,0.24348280640621922,-0.03305514513840088,2.1311332641408693,2.1256009824231574,0.03414299921422875,0.1779592870812061,0.027236299521142468,1.5363411327517236,-3.6940930950044026,kmeans,0.026135113407771637,4,4,True,0.49746
0.010520097022661323,-2.121432832901714,-2.1130568994060903,5.048278657685912e-05,0.24050083536158118,-0.029984245129761375,2.132454248528687,2.135962418633945,0.04217757433447091,0.18399835909196952,0.031661561914322296,1.5433168290407555,-3.7015911298119124,kmeans,0.026567033613328572,4,4,True,0.49737
