coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,coordinate_12,objective,fit_initialization,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight
-0.09250591066973357,-1.163476045216939,-1.1057045240723333,-0.1003117758774147,0.1925429930276919,-0.028774691888900823,1.0032269238639124,0.9687506779879832,0.014400363920396871,-0.11747204081995917,-0.03516348168708218,3.3570515941874333,-1.8798781075402038,-3.1894939486024785,gmm,2.485757950587697e-07,4,4,True,0.47689
-0.08753585267843922,-1.155237856293004,-1.1045392177433502,-0.10094463463926219,0.18507819975625736,-0.030817694858840693,0.9885871501766943,0.959609308922293,0.027747720490045633,-0.12050794656203707,-0.043717246875922176,3.424529172371794,-1.867335776050787,-3.190060902376319,gmm,2.5747360687944365e-08,4,4,True,0.47813
-0.07631701946056646,-1.1454787381985292,-1.1118352881259885,-0.09525922677505651,0.17636506877577707,-0.017206616494293857,1.0122131610424514,0.9816283742426519,0.014989188304081802,-0.13452824113652564,-0.03743657773844926,3.211433357032317,-1.8000551008208099,-3.2025976400073954,gmm,2.5755877777200453e-06,4,4,True,0.48093
-0.07042909777371498,-1.1443457322283659,-1.095908774753061,-0.09936817872916313,0.18805411300740935,-0.028502910821898493,1.000974660172139,0.9773815545835454,0.01727053466891248,-0.1367509250635804,-0.04133953530414972,3.354817446433786,-1.868956311534346,-3.1912442114932764,gmm,3.6978048738589564e-06,4,4,True,0.4824
-0.08457036895372161,-1.1542398141952446,-1.0962558162709264,-0.10089863694371128,0.18801985725860143,-0.028614764874792566,0.9994935751441749,0.9688992237542355,0.02194306443248035,-0.125726255006592,-0.03361737783308252,3.4523799982122716,-1.9380013979003543,-3.192582637655033,gmm,0.0,4,4,True,0.47887
-0.07295233741630147,-1.145567276224054,-1.095665142287945,-0.09704456578785042,0.19057032885932676,-0.03015262702106917,1.0142699547522427,0.9856844115807468,0.010382209195523875,-0.13145519195867436,-0.036919900274124916,3.3999983152683284,-1.958646036081696,-3.188149927520017,gmm,1.582265869437549e-07,4,4,True,0.48177
-0.06422206441684475,-1.1459056146677786,-1.0982305213080066,-0.09928343178109364,0.1946572859902759,-0.03201174406588107,1.0082929303207813,0.9733195978488941,0.01642033759933722,-0.13611399376595473,-0.044397785229981515,3.3875176219028402,-1.8837390141591714,-3.1875294616110854,kmeans,6.965281386639433e-05,4,4,True,0.48395
-0.06862692141088578,-1.147539579144333,-1.1012275483663347,-0.08980419545867942,0.18938602228693896,-0.025374625826940396,1.0193058322779467,0.9909340039007355,0.016943451359734067,-0.1389668242013934,-0.04194939588862222,3.3627731436021797,-1.9247576844437202,-3.196320733209936,kmeans,1.8961213932300325e-08,4,4,True,0.48285
-0.08645380797602109,-1.1539288956769016,-1.1117442957013826,-0.09848994888519286,0.18211322924084078,-0.031239181943239592,1.002855437753486,0.972747791265945,0.01597167993360259,-0.12136376882835799,-0.04033057166435037,3.287964686704271,-1.8413408570278054,-3.1899031291339024,gmm,6.316209018475405e-06,4,4,True,0.4784
-0.08953977487838471,-1.1671207906571053,-1.1007177395292764,-0.10612373217394505,0.18484405859148917,-0.029049456569573504,1.0027700152272638,0.9732585795044706,0.018877063459466156,-0.12269238318773476,-0.029693413398807458,3.4005782127049917,-1.9099743234845774,-3.190986679922862,gmm,3.73697792710459e-07,4,4,True,0.47763
