coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,coordinate_12,coordinate_13,coordinate_14,coordinate_15,coordinate_16,coordinate_17,coordinate_18,coordinate_19,coordinate_20,coordinate_21,coordinate_22,coordinate_23,coordinate_24,coordinate_25,coordinate_26,coordinate_27,coordinate_28,coordinate_29,coordinate_30,coordinate_31,coordinate_32,coordinate_33,coordinate_34,coordinate_35,coordinate_36,coordinate_37,coordinate_38,coordinate_39,coordinate_40,coordinate_41,coordinate_42,coordinate_43,coordinate_44,coordinate_45,objective,fit_initialization,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight
-0.02308102461538053,-0.9720266590357847,-0.9615944844008031,-0.9571367570082795,-0.9648650932785233,-0.9607873130046916,-0.02541773422186607,0.24568866174631868,-0.033388261687647046,0.03682757761250417,0.2430855270654592,-0.03537726912883419,-0.004476493049651261,0.05375838538950624,0.23765871860483154,-0.03701483491545927,-0.010586546134177038,0.014123422786999136,0.051765144594908205,0.2309022169625806,-0.03199419688346922,0.9536808631841254,0.9496992552380998,0.950807316431668,0.9387220140565027,0.9403171650943788,-0.0040476862550599246,-0.1474519682169257,-0.010367092127608267,0.016592358894128433,-0.14416789394236182,-0.008228030810611298,-0.0015474445201921028,0.01732337960803213,-0.15897639718185802,-0.011502757069297025,0.004068968092808847,-0.0006220859443612245,0.022736646383160128,-0.14342022678125585,-0.011620076500532522,3.0003502805116624,-1.9951957778956155,-0.009750368123448318,0.02713878843933583,0.03248641365279249,-7.4305837155480035,gmm,4.056787883399693e-08,4,4,True,0.49423
-0.020920763013647425,-0.9733733096985596,-0.9637108503448769,-0.9665184836673548,-0.962343962250226,-0.958797116161578,-0.016308675824282137,0.23352953877672789,-0.031744467565029355,0.042296306755933495,0.23379962358931708,-0.040600135361196665,-0.0054351394984964415,0.04865415526746547,0.2295940497972337,-0.036864294113114926,-0.02020890195003408,0.012908569161461474,0.04644865965680418,0.23923868455809685,-0.03984155205456395,0.9433553081757735,0.9412695542829945,0.9360735940776026,0.9463933844758805,0.9380496448771947,-0.0027083639349096238,-0.14857839635664724,-0.01116293250434544,0.028571871861596324,-0.15993056226368454,-0.016571600937801557,-0.007699001904453987,0.018138299945192272,-0.15294704439064397,-0.011690951899035396,-0.005226232654897217,-0.00563405206084744,0.01956693859964511,-0.1479615953604307,-0.00922070991504496,3.0066506668937505,-1.9850430684515847,0.03611547136513719,-0.012919192674091005,-0.007789609363371605,-7.4268976630012125,kmeans,6.224480282313039e-07,4,4,True,0.49477
-0.02104077621994871,-0.9660522236489761,-0.9597428828967052,-0.9604382549392642,-0.9583771202829185,-0.9558094407695624,-0.01309426267881311,0.2362933288746905,-0.02822306011201573,0.03349127449918965,0.24407911645878344,-0.03207900711649514,-0.015150981156307742,0.05471797824950589,0.23765425148932953,-0.03693403311407847,-0.022173355261514982,0.002328152399547712,0.05256302585963934,0.23361433992170708,-0.03223854232357499,0.9480258856211273,0.9372853386357831,0.9383404071354877,0.9421340873590537,0.9407218634032352,0.0001925285375110634,-0.1431398913702385,-0.016958975867077695,0.026112744699782146,-0.1551336897891863,-0.009461653626938267,-0.0020776193655597944,0.021905899812187022,-0.15634333274325665,-0.012560190559033037,0.005844467655196323,-0.007854632005407411,0.018701586481453644,-0.14471125590639863,-0.014543612416633834,2.9411811143315707,-1.9256557065861288,0.040687165368446354,0.030475061569519013,0.032669365743842195,-7.439427067777398,kmeans,0.0,4,4,True,0.49474
-0.003680004153011174,-0.9664651977431459,-0.9605484805112158,-0.9641652730253075,-0.9641103392930435,-0.9550481635079776,-0.015386110488033811,0.22925050511954712,-0.029717494313344105,0.035417446162471306,0.24231993262624593,-0.040469494883206794,-0.008941561301411568,0.05964518932338323,0.22517153418729385,-0.03689145542010033,-0.020976222404507455,0.008401424917874352,0.04560525082471444,0.23124602055647356,-0.03582003846112445,0.9449871404006938,0.9457917785099825,0.9492248590501314,0.9354653259663015,0.9372990593158201,0.006935243802524165,-0.15584227211320303,-0.0167039562691942,0.020535488291576354,-0.15627662637834042,-0.00927800115750418,-0.002842876492241025,0.009471185604012165,-0.15531825182031211,-0.00999288207881035,0.0043315864398022425,-0.011227774624865978,0.010954025949085563,-0.15545983844426448,-0.00865925540325976,3.041503067344895,-1.9890755274252552,0.02047269973253987,0.04232083102640647,0.03290493299844556,-7.438266284878399,kmeans,0.0,4,4,True,0.49908
-0.020640732783338667,-0.9743305580693514,-0.9607677665656885,-0.9664553415750573,-0.9664742299428443,-0.9606448015423936,-0.014304834352001038,0.23182229247397765,-0.03464429650558517,0.03682821918931621,0.23364144459573052,-0.031829499267364364,-0.006323682625430185,0.050504627357889874,0.23387502061831594,-0.03506823868989489,-0.02138440011149136,0.006623940826566747,0.04925053951616395,0.2333606091631412,-0.036638328426086185,0.9420768621512401,0.9537442168026997,0.93651018005617,0.9499728171062676,0.9108041933080832,0.0012547605138366806,-0.15744380830995416,-0.011909515448667429,0.03492373290618191,-0.15426882026834665,-0.006795351988321664,-0.014218382749262978,0.02450867494374806,-0.14778072608302362,-0.005518016212103208,0.027820940825614898,-0.020812009778207814,0.02172577484461277,-0.1502803269137579,-0.012519496634577127,3.0631657745508933,-2.0210347202250536,-0.0038052167797254827,0.008984772660804866,0.10699430398006268,-7.439639529799058,kmeans,9.955080582102482e-08,4,4,True,0.49484
-0.012640168294678733,-0.9743307545281045,-0.9644369836037477,-0.9629371818366118,-0.9537467842785338,-0.9520784297593241,-0.01408394098571075,0.23702989707409616,-0.035857716431568744,0.04254704242978062,0.24238308386993462,-0.03935596427232552,-0.008503685219376299,0.04442443531662259,0.23563247143941848,-0.036365147055934896,-0.015646889168555764,0.007176893621163324,0.05290375915096899,0.23859532236262657,-0.038932488996147686,0.9600507333566187,0.9657611875846905,0.9566283942152366,0.9366715632673844,0.9412833493770102,-0.006026650152792193,-0.1646220693933774,0.0008475115420877537,0.016287024402052278,-0.15288409593078617,-0.012847103963827905,0.011703208291026038,0.02104205445882004,-0.1534487691939228,-0.011729328568413166,0.0008226109860618738,-0.003558957512296159,0.030057021496014347,-0.1529944468160784,-0.012547528981029179,2.9611049758441874,-2.037867065196,-0.020580616918168412,0.04431104685792655,0.0424749942285416,-7.432806672216301,kmeans,0.025629718994732542,4,4,True,0.49684
-0.003560003759841668,-0.9684026280701634,-0.9527315645894929,-0.9611710443012789,-0.9548803676606892,-0.9522099952998994,-0.014523983482494963,0.24344434896623024,-0.034305706065622575,0.04131118149061359,0.23930407110897037,-0.039928904479550074,-0.00818168579120688,0.0501514989875462,0.22274461033707577,-0.04197105139931828,-0.014301420041082421,0.0004536959002873682,0.041701571374182636,0.22626283853610255,-0.027794091288119067,0.9441295091241153,0.9307599251761944,0.9404485709876073,0.9589771017959013,0.9426465410276472,0.0014175395096631955,-0.14618413148873932,-0.013835704527866585,0.022770734881266023,-0.15817869664059944,-0.016996009776337175,-0.012193321507347792,0.012621753756045162,-0.1504248038138845,-0.014250746864583733,-0.005961990589989342,-0.005149536342924378,0.03178898955741468,-0.14983674836831035,-0.013342741181009046,2.9956923544118492,-1.9305327656498026,0.05235949897964739,-0.007173169188285693,0.005327009736784502,-7.43019741749536,kmeans,0.02407888435476746,4,4,True,0.49911
-0.014560257227080875,-0.9627223115641267,-0.9625618930817724,-0.967312775191236,-0.9665613086477115,-0.9674285338754979,-0.008711579434853293,0.23727622593054595,-0.03228689281304803,0.033882129888544964,0.23405188049088654,-0.03406276325284359,-0.01028951316837272,0.05173014146901148,0.23237904333200068,-0.04207547620482302,-0.01239732186418947,0.003563943791825574,0.04798437933924126,0.23217330589784607,-0.031833321749432715,0.9451322833323265,0.9280514245114895,0.9521944743170129,0.9273554228077185,0.9380637508737506,-0.007990648378149931,-0.14359584707457726,-0.017040159275487753,0.012236760662351319,-0.14185189287753128,-0.013687216419384635,0.01615559699288263,0.014514574452128285,-0.15137579556239214,-0.008156383504161285,0.008316387838890648,-0.0059247836130605245,0.025294243478085926,-0.15297580368998837,-0.016355854054628055,2.95101999098013,-1.9288916980916282,-0.007316528093725926,0.08865942141318991,0.039233504558476746,-7.431623711288832,gmm,5.415210946324578e-08,4,4,True,0.49636
-0.019560623663359755,-0.966727330835603,-0.9642796128950958,-0.9665162375985233,-0.9596672252010339,-0.9639476906555551,-0.012462564963370821,0.23547242225716875,-0.035286898641373486,0.037507220373450105,0.23727966740593967,-0.04062205528890882,-0.009919427540781357,0.0467010656636628,0.23063782533299562,-0.04158536573136748,-0.012289389171670358,0.009337142230595445,0.056004820185420856,0.2305130495467297,-0.037580396492834116,0.9454143467189616,0.9396416161368347,0.9583879761456363,0.9358694315440216,0.9504461981807386,0.003433714243433782,-0.14170480537782004,-0.011960935220225422,0.010169151466370735,-0.14166544230088712,-0.009711069294797077,0.004925347403359548,0.01207646455625411,-0.1515417586090967,-0.013295835010221278,-0.0007965307866931683,-0.00014324475469317324,0.020361358398265025,-0.14882682695276198,-0.012207530178797122,2.93542539404706,-1.9367861873264034,-0.024643488800392993,0.0318063995995902,-0.02350882415790112,-7.432018865378464,kmeans,4.603764685029432e-07,4,4,True,0.49511
-0.020920763013647425,-0.9552903659368153,-0.9543740708762318,-0.9616162905209623,-0.9635523704580012,-0.9681259162176366,-0.009791164520469593,0.24344250415787222,-0.031038271127066287,0.03721632752402765,0.2330061853454629,-0.04137355488790583,-0.007160931570558642,0.04685726994951232,0.23061187062549635,-0.03905698839844861,-0.018793128577204516,0.010013930069423572,0.045381077451913325,0.23575938796003498,-0.03318315408640607,0.9421967659152234,0.9479819532731834,0.9426096848059615,0.9354085044522499,0.9405456234892309,-0.0013681782660647048,-0.15577411284114676,-0.017175213307629656,0.02263937080066898,-0.14367258676533773,-0.009777237341855108,-0.0007533153075973627,0.01259752481455146,-0.1537718225593605,-0.015294462285057398,0.012709098636262184,-0.011724765290341038,0.01753092366057862,-0.15028745281696654,-0.010250851807429925,3.0810919706130013,-2.0276167798037847,0.024971681500951342,0.039407129184887604,0.05014777864193849,-7.428975285256009,kmeans,9.66004618518923e-08,4,4,True,0.49477
