coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,coordinate_12,objective,fit_initialization,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight
-0.020760745639451628,-1.5241748591261715,-1.5166574168363802,-0.022075854847753287,0.22993093003420506,-0.03464634510950857,1.4964550746438596,1.4937847713450467,-0.002389622716817352,-0.14594804339196918,-0.01556309903047318,3.0506526126993867,-2.003379969077662,-3.2395909221260126,gmm,2.143114370412036e-07,4,4,True,0.49481
-0.012840176410554793,-1.5141208062420406,-1.5117864935926064,-0.022301837796455563,0.2287656638366487,-0.037398215599645575,1.4819417369434094,1.476726838234986,0.01133819486033601,-0.1463907162566403,-0.025181894603863206,3.097685810483058,-1.9463215573378572,-3.2408682279665717,kmeans,1.6188957641105617e-07,4,4,True,0.49679
-0.017320432994081036,-1.5189797392664752,-1.5219759034671585,-0.027628889620023255,0.21998307566601516,-0.02067478948794675,1.4961075612320651,1.4873896070217687,0.002039996513939529,-0.15004330316301848,-0.013203876036306983,2.9599067703748863,-1.9066852697491115,-3.250904244924197,gmm,3.111694457658132e-08,4,4,True,0.49567
-0.0024800012710838315,-1.5084907130790164,-1.5049355291311812,-0.0229055672467281,0.22977561189376441,-0.032763252486983134,1.4879175942759701,1.4908153340476853,0.004486650282638668,-0.15704200387696288,-0.02118493743284868,3.074050563470366,-1.9814885198905088,-3.242773823004033,kmeans,0.025263983774670873,4,4,True,0.49938
-0.012680169897500204,-1.5148337770708455,-1.5052470916530476,-0.02249119199023334,0.2289797248742493,-0.035027131224603304,1.4912844762244561,1.486040913147967,0.005914177487029005,-0.15021357913435993,-0.014082464016022356,3.131749002362251,-2.0223240490611403,-3.2432999333812877,kmeans,0.026051302131678167,4,4,True,0.49683
-0.008560052269075746,-1.5135513380618653,-1.5058576931285435,-0.02473925763984246,0.2318825170701964,-0.03609615211705351,1.5065883337686106,1.5004874362520846,-0.00654382803866112,-0.1504800138288657,-0.01178575229080192,3.017014791729551,-2.026352582889221,-3.2392418318982212,kmeans,0.02539335002207377,4,4,True,0.49786
-0.0018400005191256952,-1.51548382962676,-1.5076568919750384,-0.02719867060434577,0.2377461190826362,-0.03659261738750684,1.4953502787432038,1.4877826711573507,0.002659905839194125,-0.15656098795528547,-0.017990392758374035,3.076600995246335,-2.0007023792389096,-3.239209059803479,kmeans,7.950105018750264e-09,4,4,True,0.49954
-0.008560052269075746,-1.519252847933426,-1.511735672571716,-0.020804904116962886,0.2315788039126802,-0.030932648356152236,1.5077014948965473,1.4997513224502712,0.0013776860943382067,-0.1554895894027249,-0.01622721245987426,3.013975262047547,-1.9925515293852931,-3.246001940280192,kmeans,0.0,4,4,True,0.49786
-0.012560165119341882,-1.5130844518730375,-1.517706727723779,-0.019637180269460656,0.22822164239663678,-0.036455062599244,1.4951731912888724,1.4940392551262764,0.00010615508899371483,-0.14934681481396628,-0.02013134481242446,3.055779345286417,-1.9876139930586825,-3.239956953960092,kmeans,0.0,4,4,True,0.49686
-0.018160499100230987,-1.527350681109332,-1.51094282817851,-0.025605450969790607,0.2242195991402183,-0.034483796624458884,1.4925235601745959,1.492472979436203,0.004969443071481243,-0.14716764795694334,-0.01118044383831985,3.089036590990641,-2.013937087738134,-3.2432894633326286,kmeans,8.050125011038745e-09,4,4,True,0.49546
