coordinate_0,coordinate_1,coordinate_2,coordinate_3,coordinate_4,coordinate_5,coordinate_6,coordinate_7,coordinate_8,coordinate_9,coordinate_10,coordinate_11,coordinate_12,objective,fit_initialization,fit_objective_gap,fit_admissible_candidates,fit_total_candidates,fit_selected_admissible,fit_minimum_weight
-1.4163781716140353,-1.5473647576966296,-1.5320320003478447,-0.0414651107325697,0.2137467538569142,-0.03793338840466149,1.4984160081762992,1.4975861977065348,-0.0014807068623276269,-0.14514790327409297,-0.01209529650281932,3.0090600360969435,-2.0098414795260555,-2.9014706218230772,kmeans,3.3829898882231646e-09,4,4,True,0.19523
-1.4014255224365055,-1.5439899555363537,-1.5154108206685017,-0.038402228849975364,0.203801863430389,-0.03384434139659738,1.4878743743338925,1.4811804521688914,0.006603755344136072,-0.14202266822529738,-0.01943042776422544,3.0274326215173275,-1.9599354257352164,-2.9082703144306317,gmm,6.971021759838436e-08,4,4,True,0.19759
-1.4201376839459008,-1.54803188918835,-1.537205804273583,-0.04726844221354685,0.202312668197955,-0.015763190541561018,1.50661547803072,1.5073650768971634,-0.0007886660604179519,-0.15115781949193685,-0.003679228419887072,2.895519632826677,-1.9684444714195692,-2.9156192974574515,kmeans,0.0,4,4,True,0.19464
-1.4068586662462508,-1.5343315127215962,-1.5147711498587515,-0.047641671749866686,0.2039363919351225,-0.02788562965582426,1.4967309890984815,1.491559353782904,0.0033485162642335705,-0.1379445425112866,-0.014057568236083994,3.0124599424667515,-1.981474748353602,-2.9077134003760143,kmeans,7.206239542867365e-07,4,4,True,0.19673
-1.418097556308127,-1.5337550767913157,-1.5169630525319664,-0.04667929275370827,0.21210998963370242,-0.027334644954193243,1.4930468841945608,1.489476953371985,0.00650440053573086,-0.13948527238028396,-0.00808790036002871,3.065232676694687,-2.02662701222634,-2.9095100255510618,gmm,0.0,4,4,True,0.19496
-1.4115480693917941,-1.5328078513029189,-1.5165265388919098,-0.04905703404989658,0.2107384929171265,-0.03614450932716247,1.4915249550125749,1.495669794193474,0.008811559999804814,-0.150033816034116,-0.014876999519882063,3.00864155989004,-1.9785011050399754,-2.9084258205723423,kmeans,1.5394847618921403e-07,4,4,True,0.19599
-1.4151057141708214,-1.5281727324453869,-1.5109000177412897,-0.04659900073705166,0.2171078002328503,-0.0336805988876799,1.501714314398542,1.5032444643812277,0.0020112304476112377,-0.14854282032792668,-0.005005544864001629,3.0084311767236294,-2.0323659793255766,-2.909713562330494,kmeans,1.7298465637693994e-07,4,4,True,0.19543
-1.4018670875383057,-1.5352805037902182,-1.5193918270263196,-0.04439402017358792,0.21865120242717848,-0.03012292120168688,1.5017619387629657,1.5029774605412085,-0.004355521937253796,-0.1495554218567892,-0.0036586817982153953,2.995913074341524,-2.013291845014003,-2.911443470950574,gmm,4.793830843397018e-08,4,4,True,0.19752
-1.4067321106984552,-1.525881238610064,-1.5223347004102366,-0.040720757625279776,0.20299650794187515,-0.03670003781955978,1.4921659629493518,1.4891276285854824,0.005310230674269254,-0.1380606402170534,-0.014492599633402029,3.032301888155788,-1.9674836701004623,-2.908293239441796,kmeans,6.714051181688774e-08,4,4,True,0.19675
-1.4100891211589026,-1.5483474708564566,-1.517973487087392,-0.05170491466809333,0.20349052501120055,-0.036669830442187294,1.4950156323400896,1.478218437919941,0.005525347336565318,-0.14138123767276523,-0.016467128902560475,2.9826177670866154,-1.9198815387555976,-2.90649444408458,kmeans,0.0,4,4,True,0.19622
